GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
21946,Jeremy Allen,Texas A&M-CC,2009,So,0.000,0.000,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,0.000,0.000,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,0.060,0.040,66.67%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,0.000,0.000,69.23%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,0.038,0.024,62.50%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,0.000,0.000,57.14%
21952,Terence Jones,Texas A&M-CC,2009,Fr,0.043,0.023,71.21%
21945,Jawan Nelson,Texas A&M-CC,2009,So,0.071,0.038,66.67%
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,0.141,0.093,71.62%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,0.070,0.039,74.34%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,0.032,0.016,84.62%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,1.000,0.125,0.00%
21944,Jacob Warnell,Texas A&M-CC,2009,So,0.000,0.000,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,0.122,0.098,64.34%
9502,Zach Bohannon,Air Force,2009,Fr,0.143,0.118,85.71%
9484,Adam Brakeville,Air Force,2009,Fr,NA,NA,NA
9499,Taylor Broekhuis,Air Force,2009,Fr,0.074,0.043,77.27%
9486,Derek Brooks,Air Force,2009,Jr,0.050,0.026,42.11%
9495,Saj El-Amin,Air Force,2009,Sr,0.000,0.000,66.67%
9493,Mike Fitzgerald,Air Force,2009,Fr,0.000,0.000,100.00%
9500,Todd Fletcher,Air Force,2009,Fr,0.071,0.040,84.62%
9501,Tom Fow,Air Force,2009,Jr,0.161,0.062,77.78%
9497,Shawn Hempsey,Air Force,2009,So,0.000,0.000,88.89%
9492,Michael Lyons,Air Force,2009,Fr,0.073,0.031,80.00%
9494,Mike McLain,Air Force,2009,Sr,0.076,0.064,75.81%
9485,Avery Merriex,Air Force,2009,Sr,0.000,0.000,87.50%
9488,Grant Parker,Air Force,2009,Sr,0.074,0.043,70.42%
9496,Sammy Schafer,Air Force,2009,So,0.200,0.083,80.00%
9498,Taylor Stewart,Air Force,2009,So,0.125,0.077,72.73%
9487,Evan Washington,Air Force,2009,Jr,0.152,0.079,76.92%
11186,Mike Bardo,Akron,2009,Jr,0.000,0.000,42.86%
11191,Tim Carroll,Akron,2009,Sr,0.000,0.000,100.00%
11184,Jimmy Conyers,Akron,2009,Sr,0.088,0.069,75.19%
11187,Nikola Cvetinovic,Akron,2009,So,0.073,0.054,62.34%
9441,Anthony Hitchens,Akron,2009,So,0.045,0.022,69.09%
11192,Zeke Marshall,Akron,2009,Fr,0.047,0.026,63.01%
11180,Brett McClanahan,Akron,2009,So,0.000,0.000,100.00%
11179,Brett McKnight,Akron,2009,Jr,0.096,0.048,75.29%
11182,Chris McKnight,Akron,2009,Sr,0.098,0.063,68.61%
11190,Steve McNees,Akron,2009,Jr,0.000,0.000,73.77%
11185,Kyle Petersen,Akron,2009,So,NA,NA,NA
11183,Darryl Roberts,Akron,2009,Jr,0.038,0.010,82.67%
11188,Ronnie Steward,Akron,2009,Fr,0.056,0.045,80.00%
11178,Alex Sullivan,Akron,2009,Fr,NA,0.000,100.00%
11189,Steve Swiech,Akron,2009,So,0.000,0.000,66.67%
14647,Antonio Adams,Alabama A&M ,2009,Fr,0.000,0.000,NA
14648,Bo Amusa,Alabama A&M ,2009,Jr,0.066,0.037,70.53%
14661,Pierre Andrews,Alabama A&M ,2009,So,NA,0.000,66.67%
14649,Casey Cantey,Alabama A&M ,2009,So,0.063,0.045,68.72%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,0.034,0.016,42.55%
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0.000,0.000,33.33%
14663,Royce Hamilton,Alabama A&M ,2009,So,0.000,0.000,NA
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,0.044,0.011,81.54%
14652,Evan Hilton,Alabama A&M ,2009,Sr,0.056,0.036,67.77%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,0.023,0.018,77.50%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,0.000,0.000,75.00%
14660,Maurice Kemp,Alabama A&M ,2009,Fr,0.101,0.076,50.98%
14659,Marcus Lee,Alabama A&M ,2009,Fr,0.037,0.023,77.78%
14662,Reggie Porter,Alabama A&M ,2009,Jr,0.000,0.000,73.33%
14657,Khiry White,Alabama A&M ,2009,RS-Fr,NA,NA,NA
14645,Adam Young,Alabama A&M ,2009,Fr,0.091,0.050,75.68%
14725,Stephawn Brown,Alabama State,2009,Fr,0.000,0.000,0.00%
14726,Tramaine Butler,Alabama State,2009,RS-Jr,0.106,0.067,73.58%
14714,Chris Duncan,Alabama State,2009,Jr,0.063,0.031,74.07%
14719,Jevon Freeman,Alabama State,2009,Jr,0.000,0.000,60.00%
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0.000,0.000,100.00%
14715,Derrick Johnson,Alabama State,2009,So,0.000,0.000,NA
14718,Jeffery Middlebrooks,Alabama State,2009,So,0.083,0.033,76.92%
14724,Sekari Milligen,Alabama State,2009,So,0.000,0.000,80.00%
14727,Tramyne Moorer,Alabama State,2009,Jr,0.093,0.053,77.84%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,0.000,0.000,100.00%
14721,Menji Mundadi,Alabama State,2009,Sr,0.088,0.054,84.87%
14722,Robert Sanders,Alabama State,2009,Jr,0.100,0.051,50.00%
14712,A.J. Spencer,Alabama State,2009,Jr,0.100,0.044,56.00%
14407,Byron Walker,Alabama State,2009,Sr,0.026,0.011,59.57%
14723,Ryan Watts,Alabama State,2009,Fr,0.000,0.000,80.00%
14716,Ivory White,Alabama State,2009,So,0.056,0.032,83.33%
5496,Anthony Brock,Alabama,2009,Sr,0.026,0.019,87.10%
5502,Greg Cage,Alabama,2009,Sr,0.000,0.000,NA
5498,Charvez Davis,Alabama,2009,Jr,0.083,0.027,72.73%
44725,Chris Dixon,Alabama,2009,Fr,0.000,0.000,NA
5497,Ben Eblen,Alabama,2009,Fr,0.000,0.000,50.00%
2187,JaMychal Green,Alabama,2009,So,0.166,0.078,74.39%
2356,Senario Hillman,Alabama,2009,Jr,0.038,0.016,71.74%
5499,Chris Hines,Alabama,2009,Jr,0.100,0.052,73.17%
5503,Justin Knox,Alabama,2009,Jr,0.113,0.038,86.05%
5504,Justin Luquire,Alabama,2009,Sr,NA,0.000,NA
5506,Tony Mitchell,Alabama,2009,Fr,0.100,0.057,72.41%
5495,Andrew Steele,Alabama,2009,RS-So,0.400,0.222,85.71%
5505,Mikhail Torrance,Alabama,2009,Sr,0.126,0.063,80.13%
17582,Billy Allen,Albany,2009,So,0.091,0.050,88.89%
17596,Tim Ambrose,Albany,2009,Jr,0.080,0.026,84.91%
17590,Logan Aronhalt,Albany,2009,Fr,0.042,0.013,81.82%
17591,Louis Barraza,Albany,2009,Jr,NA,NA,NA
17593,Mike Black,Albany,2009,Fr,0.096,0.053,70.59%
17584,Brett Gifford,Albany,2009,Sr,0.000,0.000,66.67%
4414,Will Harris,Albany,2009,Sr,0.077,0.033,70.97%
17592,Mike Johnson,Albany,2009,Sr,0.071,0.027,64.29%
17588,Jake Lindfors,Albany,2009,RS-Fr,0.050,0.021,44.44%
17595,Scotty McRae,Albany,2009,Sr,0.227,0.069,65.12%
17583,Blake Metcalf,Albany,2009,Fr,0.133,0.069,64.00%
17585,Derrek Tartt,Albany,2009,Fr,0.154,0.080,57.14%
17586,Fran Urli,Albany,2009,Jr,0.183,0.108,71.79%
14783,Corey Anthony,Alcorn State,2009,So,0.063,0.028,63.16%
14785,Derrick Blackwell,Alcorn State,2009,Jr,0.043,0.028,63.64%
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0.000,0.000,40.00%
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,0.067,0.026,71.64%
14795,Tony Eackles,Alcorn State,2009,Fr,0.077,0.036,70.45%
14787,Ian Francis,Alcorn State,2009,Fr,0.074,0.048,76.92%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,0.067,0.031,68.00%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,0.103,0.035,63.64%
14793,Michael Martin,Alcorn State,2009,Fr,0.071,0.050,88.89%
14788,Jamar Ragland,Alcorn State,2009,Fr,0.000,0.000,30.77%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,0.098,0.058,68.75%
14781,Alex Savannah,Alcorn State,2009,So,0.033,0.016,73.68%
14790,Keith Searcy,Alcorn State,2009,Fr,0.065,0.017,68.66%
14792,Michael Starks,Alcorn State,2009,Fr,0.143,0.107,61.11%
16942,Mike Bersch,American University,2009,Fr,0.000,0.000,0.00%
16939,Jordan Borucki,American University,2009,Fr,NA,0.000,NA
16935,Daniel Fisher,American University,2009,Fr,0.500,0.125,66.67%
16944,Riley Grafft,American University,2009,So,0.065,0.023,63.16%
16943,Nick Hendra,American University,2009,Jr,0.055,0.029,78.08%
16938,Joe Hill (2),American University,2009,So,0.000,0.000,NA
16937,Jeff Holton,American University,2009,Fr,NA,NA,100.00%
16934,Blake Jolivette,American University,2009,Fr,0.125,0.036,80.00%
16946,Stephen Lumpkins,American University,2009,So,0.070,0.049,82.05%
16947,Steve Luptak,American University,2009,Jr,0.091,0.033,82.35%
16945,Simon McCormack,American University,2009,So,0.047,0.028,77.42%
16948,Vlad Moldoveanu,American University,2009,So,0.129,0.058,79.84%
16936,Daniel Munoz (2),American University,2009,Fr,0.074,0.021,76.92%
16941,Matthew Wilson,American University,2009,Jr,0.059,0.037,80.00%
20990,Ryann Abraham,Appalachian State,2009,Sr,0.093,0.051,65.75%
20981,J.R. Archer,Appalachian State,2009,Jr,NA,NA,100.00%
20983,Jeremi Booth,Appalachian State,2009,Jr,0.049,0.019,86.96%
20986,Kellen Brand,Appalachian State,2009,Sr,0.082,0.038,71.76%
20980,Isaac Butts,Appalachian State,2009,Jr,0.075,0.051,66.67%
20988,Nathan Healy,Appalachian State,2009,Fr,0.136,0.073,53.85%
20978,A.J. Highsmith,Appalachian State,2009,Sr,NA,NA,100.00%
20985,Josh Hunter,Appalachian State,2009,Sr,0.157,0.105,75.63%
20982,Jacob Lail,Appalachian State,2009,So,0.000,0.000,100.00%
20984,Josh Nirenberg,Appalachian State,2009,Fr,0.143,0.071,80.00%
9581,Donald Sims,Appalachian State,2009,Jr,0.129,0.052,69.02%
20991,Tyler Webb,Appalachian State,2009,Sr,0.000,0.000,55.56%
20979,Andre Williamson,Appalachian State,2009,So,0.087,0.035,76.19%
20987,Marcus Wright,Appalachian State,2009,So,0.150,0.058,65.12%
6680,Ty Abbott,Arizona State,2009,Jr,0.102,0.044,63.79%
1954,Eric Boateng,Arizona State,2009,Sr,0.112,0.074,71.03%
4734,Derek Glasser,Arizona State,2009,Sr,0.058,0.023,84.73%
6682,Marcus Jackson,Arizona State,2009,Fr,0.333,0.333,80.00%
6676,Rihards Kuksiks,Arizona State,2009,Jr,0.149,0.073,66.07%
6679,Trent Lockett,Arizona State,2009,Fr,0.116,0.058,69.66%
6674,Jamelle McMillan,Arizona State,2009,Jr,0.043,0.029,78.95%
6677,Ruslan Pateev,Arizona State,2009,Fr,0.077,0.034,70.59%
6678,Taylor Rohde,Arizona State,2009,So,0.152,0.125,57.14%
6681,Victor Rudd,Arizona State,2009,Fr,0.000,0.000,100.00%
6675,Jerren Shipp,Arizona State,2009,Sr,0.108,0.070,70.27%
6671,Brandon Thompson,Arizona State,2009,Fr,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,0.150,0.061,80.95%
6649,Kyle Fogg,Arizona,2009,So,0.068,0.021,72.73%
6653,Solomon Hill,Arizona,2009,Fr,0.157,0.083,66.67%
6647,Jamelle Horne,Arizona,2009,Jr,0.030,0.009,63.04%
6641,Alex Jacobson,Arizona,2009,So,0.000,0.000,80.00%
2540,Lamont Jones,Arizona,2009,Fr,0.125,0.037,68.18%
6646,Garland Judkins,Arizona,2009,RS-So,0.000,0.000,100.00%
6642,Brendon Lavender,Arizona,2009,So,0.000,0.000,71.43%
6650,Kyryl Natyazhko,Arizona,2009,Fr,0.000,0.000,60.87%
6648,Kevin Parrom,Arizona,2009,Fr,0.074,0.033,86.67%
6643,D.J. Shumpert,Arizona,2009,So,NA,0.000,100.00%
6644,Derrick Williams,Arizona,2009,Fr,0.106,0.068,74.14%
6645,Dondre Wise,Arizona,2009,So,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,0.096,0.035,83.97%
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,0.100,0.071,76.92%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,0.104,0.041,74.69%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,0.000,0.000,0.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,0.038,0.016,67.92%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,0.059,0.038,81.93%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,0.000,0.000,30.00%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0.000,0.000,NA
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,0.500,0.100,40.00%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,62.50%
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,63.33%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,75.00%
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,0.000,0.000,42.11%
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,0.185,0.102,67.50%
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0.000,0.000,100.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,0.143,0.055,75.00%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,0.078,0.068,66.12%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,0.076,0.024,72.94%
4550,Martavius Adams,Arkansas State ,2009,So,0.086,0.050,78.00%
19725,Rashad Allison,Arkansas State ,2009,Jr,0.038,0.014,65.31%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,NA,NA,NA
5976,JeJuan Brown,Arkansas State ,2009,Jr,0.140,0.073,65.31%
19718,Daniel Bryant,Arkansas State ,2009,So,0.038,0.026,65.22%
19721,Justin Butler,Arkansas State ,2009,Jr,0.063,0.050,64.00%
19726,Trey Finn,Arkansas State ,2009,Fr,0.042,0.018,79.73%
19724,Michael Lance,Arkansas State ,2009,Sr,0.333,0.200,0.00%
19716,Brandon Peterson,Arkansas State ,2009,Fr,0.099,0.057,67.92%
19717,Brandon Reed,Arkansas State ,2009,Fr,0.081,0.035,80.19%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,0.091,0.042,68.42%
19720,Jeremy Thomas,Arkansas State ,2009,Jr,0.078,0.068,62.07%
5539,Marcus Britt,Arkansas,2009,Jr,0.045,0.021,77.78%
5536,Glenn Bryant,Arkansas,2009,Fr,0.103,0.075,66.67%
5543,Rotnei Clarke,Arkansas,2009,So,0.156,0.051,70.37%
5545,Stephen Cox,Arkansas,2009,Jr,0.000,0.000,83.33%
5537,Jemal Farmer,Arkansas,2009,Jr,0.094,0.042,63.64%
3642,Courtney Fortson,Arkansas,2009,So,0.064,0.042,68.61%
5535,Delvon Johnson,Arkansas,2009,Jr,0.143,0.095,50.00%
5534,Cody Lay,Arkansas,2009,Fr,0.000,0.000,NA
5542,Nick Mason,Arkansas,2009,So,NA,NA,NA
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0.000,0.000,100.00%
5538,Julysses Nobles,Arkansas,2009,Fr,0.063,0.035,66.67%
5540,Marshawn Powell,Arkansas,2009,Fr,0.100,0.061,70.42%
5533,Chris Roberts,Arkansas,2009,Fr,0.000,0.000,NA
5541,Michael Sanchez,Arkansas,2009,So,0.125,0.100,70.59%
2330,Michael Washington,Arkansas,2009,Sr,0.126,0.075,71.25%
5544,Stefan Welsh,Arkansas,2009,Sr,0.098,0.056,58.33%
16988,Joe Clark,Army,2009,So,NA,0.000,NA
16984,Ella Ellis,Army,2009,Fr,0.120,0.060,83.33%
16996,Nathan Hedgecock,Army,2009,Jr,0.000,0.000,NA
16987,Jeremy Hence,Army,2009,Jr,0.058,0.043,87.50%
16995,Mitch McDonald,Army,2009,Jr,0.059,0.034,83.33%
47965,C.J. McElrath,Army,2009,Fr,NA,NA,NA
16991,Josh Miller,Army,2009,Sr,0.059,0.026,84.38%
16994,Marcus Nelson,Army,2009,Sr,0.048,0.038,73.53%
16986,Jason Pancoe,Army,2009,Fr,0.000,0.000,66.67%
16983,Cleveland Richard,Army,2009,Sr,0.096,0.037,80.21%
16992,Julian Simmons,Army,2009,So,0.079,0.024,80.95%
16989,Jon Sizemore,Army,2009,Sr,0.125,0.047,72.73%
16990,Jordan Springer,Army,2009,Fr,0.000,0.000,100.00%
16998,Tyrell Thompson,Army,2009,Sr,0.051,0.030,81.25%
16982,Chris Walker,Army,2009,Sr,0.011,0.008,80.00%
16985,Eric Zastoupil,Army,2009,Sr,0.024,0.015,66.67%
5590,Ty Armstrong,Auburn,2009,Fr,0.040,0.022,72.73%
5587,Rob Chubb,Auburn,2009,Fr,0.000,0.000,100.00%
5581,Jake Drum,Auburn,2009,So,0.000,0.000,NA
5584,Kenny Gabriel,Auburn,2009,So,0.000,0.000,100.00%
5586,Lucas Hargrove,Auburn,2009,Sr,0.068,0.041,70.18%
5578,Brendan Knox,Auburn,2009,Sr,0.143,0.117,69.42%
5582,Johnnie Lett,Auburn,2009,Sr,0.154,0.105,66.67%
5577,Andre Malone,Auburn,2009,Fr,0.050,0.024,61.54%
5589,Tony Neysmith,Auburn,2009,So,0.000,0.000,100.00%
4818,DeWayne Reed,Auburn,2009,Sr,0.089,0.062,74.21%
5579,Earnest Ross,Auburn,2009,Fr,0.074,0.049,45.45%
5580,Frankie Sullivan,Auburn,2009,So,0.118,0.075,62.77%
5583,Josh Wallace,Auburn,2009,Fr,0.000,0.000,28.57%
5588,Tay Waller,Auburn,2009,Sr,0.081,0.037,78.57%
5585,"Larry Williams, Jr.",Auburn,2009,Jr,1.000,0.333,66.67%
11659,Justin Blake,Austin Peay,2009,Fr,0.185,0.125,69.05%
11650,Caleb Brown,Austin Peay,2009,Jr,0.057,0.026,85.06%
11661,Tyrone Caldwell,Austin Peay,2009,So,0.133,0.093,68.06%
9444,Anthony Campbell,Austin Peay,2009,So,0.118,0.068,70.54%
11662,Wesley Channels,Austin Peay,2009,Sr,0.164,0.079,70.52%
11655,Ernest Fields,Austin Peay,2009,Sr,0.000,0.000,60.00%
11658,John Fraley,Austin Peay,2009,So,0.124,0.085,68.15%
11654,Eric Mosley,Austin Peay,2009,Fr,0.182,0.080,88.89%
11651,Chris Reaves,Austin Peay,2009,So,0.091,0.031,50.00%
