GMID,Name,School,Year,A1PerRimAtt,A1Per2PT,PercFTsShootF
1945,Tweety Carter,Baylor,2009,0.288,0.100,90.22%
1946,Sherron Collins,Kansas,2009,0.072,0.031,74.56%
1947,Jon Scheyer,Duke,2009,0.151,0.055,79.17%
1948,Lance Thomas,Duke,2009,0.081,0.042,82.54%
1949,Vernon Macklin,Florida,2009,0.107,0.067,93.24%
1949,Vernon Macklin,Florida,2010,0.108,0.058,97.14%
1950,Scottie Reynolds,Villanova,2009,0.072,0.035,101.16%
1951,James Keefe,UCLA,2009,NA,NA,1200.00%
1953,Tasmin Mitchell,LSU,2009,0.143,0.033,247.62%
1954,Eric Boateng,Arizona State,2009,0.087,0.054,89.36%
2048,Kyle Bailey,Connecticut,2009,NA,NA,NA
2048,Kyle Bailey,Connecticut,2010,NA,NA,NA
2048,Kyle Bailey,Connecticut,2011,NA,NA,NA
2151,Kyle Singler,Duke,2009,0.107,0.034,81.29%
2151,Kyle Singler,Duke,2010,0.129,0.046,84.17%
2152,Patrick Patterson,Kentucky,2009,0.079,0.045,70.09%
2153,Jai Lucas,Texas,2009,0.000,0.000,57.14%
2153,Jai Lucas,Texas,2010,0.231,0.057,77.78%
2154,Nolan Smith,Duke,2009,0.053,0.022,71.03%
2154,Nolan Smith,Duke,2010,0.115,0.051,86.63%
2155,Austin Freeman,Georgetown,2009,0.098,0.061,103.49%
2155,Austin Freeman,Georgetown,2010,0.082,0.046,91.40%
2156,Corey Stokes,Villanova,2009,0.148,0.056,92.16%
2156,Corey Stokes,Villanova,2010,0.200,0.048,79.69%
2157,Chris Wright,Georgetown,2009,0.081,0.058,88.60%
2157,Chris Wright,Georgetown,2010,0.029,0.020,86.79%
2158,James Anderson,Oklahoma State,2009,0.149,0.098,80.59%
2159,Cole Aldrich,Kansas,2009,0.135,0.063,77.70%
2160,Taylor King,Villanova,2009,0.068,0.041,72.50%
2161,Gani Lawal,Georgia Tech,2009,0.103,0.051,89.19%
2172,Larry Drew,North Carolina,2009,0.094,0.022,90.36%
2172,Larry Drew,North Carolina,2010,0.222,0.049,123.08%
2172,Larry Drew,UCLA,2012,0.031,0.013,102.86%
2173,Samardo Samuels,Louisville,2009,0.124,0.066,74.16%
2174,Ed Davis,North Carolina,2009,0.325,0.080,87.96%
2175,Tyler Zeller,North Carolina,2009,0.333,0.081,80.33%
2175,Tyler Zeller,North Carolina,2010,0.152,0.047,82.54%
2175,Tyler Zeller,North Carolina,2011,0.149,0.042,94.24%
2176,Sylven Landesberg,Virginia,2009,0.109,0.046,109.01%
2177,Mike Dunigan,Oregon,2009,0.111,0.036,312.12%
2178,Greg Monroe,Georgetown,2009,0.104,0.073,83.33%
2179,Willie Warren,Oklahoma,2009,0.375,0.171,375.00%
2180,Al-Farouq Aminu,Wake Forest,2009,0.114,0.065,87.94%
2181,Kemba Walker,Connecticut,2009,0.051,0.023,75.00%
2181,Kemba Walker,Connecticut,2010,0.109,0.042,82.27%
2182,Malcolm Lee,UCLA,2009,0.176,0.056,267.44%
2182,Malcolm Lee,UCLA,2010,0.101,0.063,89.78%
2183,Iman Shumpert,Georgia Tech,2009,0.053,0.020,81.43%
2183,Iman Shumpert,Georgia Tech,2010,0.077,0.032,94.89%
2184,Scotty Hopson,Tennessee,2009,0.095,0.048,88.75%
2184,Scotty Hopson,Tennessee,2010,0.109,0.054,84.06%
2185,Luke Babbitt,Nevada,2009,0.151,0.042,107.27%
2186,William Buford,Ohio State,2009,0.089,0.029,89.58%
2186,William Buford,Ohio State,2010,0.078,0.020,85.71%
2186,William Buford,Ohio State,2011,0.148,0.043,91.18%
