GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
21946,Jeremy Allen,Texas A&M-CC,2009,So,NA,NA,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,0.000,0.000,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,0.063,0.042,65.52%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,0.000,0.000,60.00%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,0.040,0.024,50.00%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,0.000,0.000,50.00%
21952,Terence Jones,Texas A&M-CC,2009,Fr,0.049,0.025,70.69%
21945,Jawan Nelson,Texas A&M-CC,2009,So,0.071,0.038,57.14%
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,0.157,0.103,73.58%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,0.074,0.041,72.38%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,0.000,0.000,82.35%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,1.000,0.200,0.00%
21944,Jacob Warnell,Texas A&M-CC,2009,So,NA,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,0.107,0.087,67.19%
9502,Zach Bohannon,Air Force,2009,Fr,0.200,0.182,66.67%
9484,Adam Brakeville,Air Force,2009,Fr,NA,NA,NA
9499,Taylor Broekhuis,Air Force,2009,Fr,0.083,0.048,79.07%
9486,Derek Brooks,Air Force,2009,Jr,0.053,0.029,42.11%
9495,Saj El-Amin,Air Force,2009,Sr,NA,NA,NA
9493,Mike Fitzgerald,Air Force,2009,Fr,0.000,0.000,100.00%
9500,Todd Fletcher,Air Force,2009,Fr,0.083,0.045,78.26%
9501,Tom Fow,Air Force,2009,Jr,0.185,0.075,71.43%
9497,Shawn Hempsey,Air Force,2009,So,0.000,0.000,100.00%
9492,Michael Lyons,Air Force,2009,Fr,0.058,0.025,80.00%
9494,Mike McLain,Air Force,2009,Sr,0.082,0.069,71.93%
9485,Avery Merriex,Air Force,2009,Sr,0.000,0.000,80.00%
9488,Grant Parker,Air Force,2009,Sr,0.048,0.028,71.88%
9496,Sammy Schafer,Air Force,2009,So,0.200,0.083,80.00%
9498,Taylor Stewart,Air Force,2009,So,0.095,0.057,73.68%
9487,Evan Washington,Air Force,2009,Jr,0.120,0.062,78.74%
11186,Mike Bardo,Akron,2009,Jr,0.000,0.000,33.33%
11191,Tim Carroll,Akron,2009,Sr,0.000,0.000,NA
11184,Jimmy Conyers,Akron,2009,Sr,0.095,0.075,74.19%
11187,Nikola Cvetinovic,Akron,2009,So,0.077,0.057,60.00%
9441,Anthony Hitchens,Akron,2009,So,0.049,0.024,71.70%
11192,Zeke Marshall,Akron,2009,Fr,0.025,0.014,65.67%
11180,Brett McClanahan,Akron,2009,So,0.000,0.000,100.00%
