GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,1,0,1,0,0,3,0,3,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,16,2,5,9,0,38,4,18,16
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,38,8,18,11,3,43,4,18,21
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,69,13,34,22,6,51,5,27,19
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,25,4,7,14,1,31,2,16,13
21952,Terence Jones,Texas A&M-CC,2009,Fr,74,9,41,24,8,79,10,42,27
21945,Jawan Nelson,Texas A&M-CC,2009,So,6,0,3,3,0,21,3,6,12
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,88,9,61,18,20,139,11,75,53
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,29,6,11,12,3,49,6,19,24
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,21,3,10,7,1,28,0,14,14
21940,Antonio Topps,Texas A&M-CC,2009,Jr,3,0,0,3,0,2,0,1,1
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,52,12,26,14,3,59,2,20,37
9502,Zach Bohannon,Air Force,2009,Fr,8,1,2,5,0,6,1,4,1
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,11,1,3,7,0,25,3,11,11
9486,Derek Brooks,Air Force,2009,Jr,6,0,3,3,0,11,0,7,4
9495,Saj El-Amin,Air Force,2009,Sr,1,0,0,1,0,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,5,1,1,2,0,10,2,2,6
9500,Todd Fletcher,Air Force,2009,Fr,64,3,41,20,6,37,0,22,15
9501,Tom Fow,Air Force,2009,Jr,19,4,10,5,2,18,1,9,8
9497,Shawn Hempsey,Air Force,2009,So,18,2,10,6,2,10,1,6,3
9492,Michael Lyons,Air Force,2009,Fr,51,8,21,22,0,45,2,17,26
9494,Mike McLain,Air Force,2009,Sr,38,4,8,26,0,60,8,24,28
9485,Avery Merriex,Air Force,2009,Sr,35,5,9,21,1,32,7,14,11
9488,Grant Parker,Air Force,2009,Sr,24,4,12,8,0,34,3,16,15
9496,Sammy Schafer,Air Force,2009,So,3,0,1,2,0,3,1,2,0
9498,Taylor Stewart,Air Force,2009,So,12,1,9,2,1,17,1,10,6
9487,Evan Washington,Air Force,2009,Jr,94,10,42,42,4,65,8,33,24
11186,Mike Bardo,Akron,2009,Jr,4,0,2,2,0,9,1,4,4
11191,Tim Carroll,Akron,2009,Sr,2,0,2,0,0,4,0,3,1
11184,Jimmy Conyers,Akron,2009,Sr,50,12,21,17,2,66,4,32,30
11187,Nikola Cvetinovic,Akron,2009,So,39,5,18,16,4,60,1,22,37
9441,Anthony Hitchens,Akron,2009,So,91,13,46,32,11,56,1,35,20
11192,Zeke Marshall,Akron,2009,Fr,17,3,9,5,0,51,3,27,21
11180,Brett McClanahan,Akron,2009,So,25,4,10,11,2,22,0,11,11
11179,Brett McKnight,Akron,2009,Jr,43,5,21,16,2,43,4,23,16
11182,Chris McKnight,Akron,2009,Sr,49,7,17,25,0,51,3,26,22
11190,Steve McNees,Akron,2009,Jr,86,21,30,35,6,41,0,24,17
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,1,0,0,1
11183,Darryl Roberts,Akron,2009,Jr,51,8,23,19,0,33,2,18,13
11188,Ronnie Steward,Akron,2009,Fr,15,5,2,8,0,19,0,10,9
11178,Alex Sullivan,Akron,2009,Fr,1,0,1,0,0,2,0,2,0
11189,Steve Swiech,Akron,2009,So,0,0,0,0,0,0,0,0,0
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,0,0,0,0,5,0,2,3
14648,Bo Amusa,Alabama A&M ,2009,Jr,19,1,12,5,2,31,3,16,12
