GMID,Name,School,Year,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
1945,Tweety Carter,Baylor,2009,174,23,92,57,70,70,3,45,22
1946,Sherron Collins,Kansas,2009,128,31,62,35,71,71,7,37,27
1947,Jon Scheyer,Duke,2009,166,22,69,75,58,58,2,33,23
1948,Lance Thomas,Duke,2009,31,4,15,12,45,45,2,19,24
1949,Vernon Macklin,Florida,2009,22,2,12,8,40,40,4,20,16
1949,Vernon Macklin,Florida,2010,23,1,11,11,42,42,3,19,20
1950,Scottie Reynolds,Villanova,2009,95,18,32,45,74,74,5,31,38
1951,James Keefe,UCLA,2009,0,0,0,0,0,0,0,0,0
1953,Tasmin Mitchell,LSU,2009,19,5,10,4,24,24,0,13,11
1954,Eric Boateng,Arizona State,2009,24,3,10,11,66,66,16,14,36
2048,Kyle Bailey,Connecticut,2009,1,0,0,1,0,0,0,0,0
2048,Kyle Bailey,Connecticut,2010,0,0,0,0,1,1,0,0,1
2048,Kyle Bailey,Connecticut,2011,0,0,0,0,0,0,0,0,0
2151,Kyle Singler,Duke,2009,79,17,29,33,65,65,2,35,28
2151,Kyle Singler,Duke,2010,47,11,15,21,58,58,3,33,22
2152,Patrick Patterson,Kentucky,2009,27,2,9,16,32,32,0,17,15
2153,Jai Lucas,Texas,2009,28,7,10,11,15,15,0,10,5
2153,Jai Lucas,Texas,2010,28,8,4,16,11,11,2,5,4
2154,Nolan Smith,Duke,2009,91,13,29,49,55,55,5,31,19
2154,Nolan Smith,Duke,2010,164,15,57,92,108,108,2,64,42
2155,Austin Freeman,Georgetown,2009,67,7,34,26,50,50,3,27,20
2155,Austin Freeman,Georgetown,2010,70,4,43,23,46,46,5,28,13
2156,Corey Stokes,Villanova,2009,26,4,13,9,32,32,5,18,9
2156,Corey Stokes,Villanova,2010,23,12,7,4,26,26,2,13,11
2157,Chris Wright,Georgetown,2009,120,11,57,51,55,55,4,27,24
2157,Chris Wright,Georgetown,2010,137,11,71,55,71,71,10,37,24
2158,James Anderson,Oklahoma State,2009,73,4,25,44,69,69,7,29,33
2159,Cole Aldrich,Kansas,2009,25,1,9,15,41,41,6,17,18
2160,Taylor King,Villanova,2009,14,4,5,5,30,30,5,17,8
2161,Gani Lawal,Georgia Tech,2009,15,2,5,8,70,70,13,29,28
2172,Larry Drew,North Carolina,2009,191,91,50,49,107,107,2,61,44
2172,Larry Drew,North Carolina,2010,62,31,16,14,29,29,2,14,13
2172,Larry Drew,UCLA,2012,218,90,62,65,73,73,2,43,28
2173,Samardo Samuels,Louisville,2009,38,3,16,19,73,73,9,23,41
2174,Ed Davis,North Carolina,2009,16,8,3,5,33,33,2,18,13
2175,Tyler Zeller,North Carolina,2009,7,3,1,3,31,31,2,19,10
2175,Tyler Zeller,North Carolina,2010,13,1,4,8,39,39,4,23,12
2175,Tyler Zeller,North Carolina,2011,31,12,10,9,53,53,5,34,14
2176,Sylven Landesberg,Virginia,2009,69,20,28,21,53,53,2,22,29
2177,Mike Dunigan,Oregon,2009,0,0,0,0,13,13,3,3,7
2178,Greg Monroe,Georgetown,2009,105,14,69,22,89,89,8,41,40
2179,Willie Warren,Oklahoma,2009,13,2,4,7,20,20,3,8,9
2180,Al-Farouq Aminu,Wake Forest,2009,27,8,11,7,70,70,8,29,33
2181,Kemba Walker,Connecticut,2009,145,41,73,30,89,89,3,48,38
2181,Kemba Walker,Connecticut,2010,177,42,67,68,88,88,4,58,26
2182,Malcolm Lee,UCLA,2009,25,8,10,7,17,17,1,7,9
2182,Malcolm Lee,UCLA,2010,58,6,35,15,49,49,4,27,18
2183,Iman Shumpert,Georgia Tech,2009,110,23,50,37,86,86,5,42,39
2183,Iman Shumpert,Georgia Tech,2010,98,18,42,38,60,60,8,26,26
2184,Scotty Hopson,Tennessee,2009,44,11,24,9,74,74,6,42,26
2184,Scotty Hopson,Tennessee,2010,33,7,17,8,75,75,8,38,29
2185,Luke Babbitt,Nevada,2009,51,9,21,21,57,57,2,31,24
2186,William Buford,Ohio State,2009,94,17,36,40,57,57,4,27,26
2186,William Buford,Ohio State,2010,91,11,41,39,55,55,4,22,29
2186,William Buford,Ohio State,2011,86,18,46,22,77,77,6,36,35
2187,JaMychal Green,Alabama,2009,25,6,9,10,70,70,9,24,37
2187,JaMychal Green,Alabama,2010,44,5,27,12,85,85,9,28,48
2187,JaMychal Green,Alabama,2011,34,6,17,11,54,54,5,25,24
2188,Chris Singleton,Florida State,2009,61,14,24,23,89,89,8,43,38
2188,Chris Singleton,Florida State,2010,19,3,7,9,45,45,6,23,16
2189,Elliot Williams,Memphis,2009,109,10,40,59,88,88,15,28,45
2190,Mike Rosario,Rutgers,2009,12,4,5,3,28,28,1,17,10
2190,Mike Rosario,Florida,2011,27,3,8,16,25,25,0,13,12
2190,Mike Rosario,Florida,2012,52,7,20,25,43,43,3,19,21
2191,Derrick Favors,Georgia Tech,2009,34,8,14,12,82,82,15,30,37
2192,DeMarcus Cousins,Kentucky,2009,28,1,20,7,59,59,4,27,28
2193,Ryan Kelly,Duke,2009,13,1,10,2,8,8,1,5,2
2193,Ryan Kelly,Duke,2010,27,5,9,13,28,28,2,12,14
2193,Ryan Kelly,Duke,2011,31,4,9,18,41,41,1,25,15
2193,Ryan Kelly,Duke,2012,38,7,13,18,23,23,3,11,9
2194,Avery Bradley,Texas,2009,55,17,21,17,47,47,4,34,9
2195,John Wall,Kentucky,2009,190,23,91,76,113,113,5,60,48
2196,Lance Stephenson,Cincinnati,2009,81,13,37,30,79,79,5,33,41
2197,Xavier Henry,Kansas,2009,48,14,17,17,56,56,8,27,21
2198,Larry Sanders,VCU,2009,22,4,14,4,36,36,5,19,12
2199,Alex Oriakhi,Connecticut,2009,8,2,2,4,27,27,4,17,6
2199,Alex Oriakhi,Connecticut,2010,15,4,5,6,38,38,6,15,17
2199,Alex Oriakhi,Connecticut,2011,9,4,3,2,37,37,11,14,12
2199,Alex Oriakhi,Missouri,2012,12,2,3,7,45,45,7,14,24
2200,Peyton Siva,Louisville,2009,52,3,29,20,44,44,1,30,13
2200,Peyton Siva,Louisville,2010,158,14,59,83,85,85,6,46,33
2200,Peyton Siva,Louisville,2011,200,25,80,95,125,125,5,72,48
2200,Peyton Siva,Louisville,2012,151,21,70,60,70,70,2,39,29
2201,Baden Jaxen,North Carolina,2009,62,23,18,21,56,56,5,30,21
2201,Baden Jaxen,North Carolina,2010,57,22,10,25,45,45,4,30,11
2201,Baden Jaxen,North Carolina,2011,38,14,13,11,25,25,4,13,8
2201,Baden Jaxen,North Carolina,2012,100,32,16,52,29,29,3,16,10
2202,Dante Taylor,Pittsburgh,2009,3,0,1,2,17,17,3,6,8
2202,Dante Taylor,Pittsburgh,2010,10,1,4,5,15,15,2,3,10
2202,Dante Taylor,Pittsburgh,2011,15,2,9,4,35,35,3,12,20
2202,Dante Taylor,Pittsburgh,2012,14,3,9,2,13,13,0,3,10
2203,Maalik Wayns,Villanova,2009,36,8,19,9,37,37,1,17,19
2203,Maalik Wayns,Villanova,2010,96,34,31,31,64,64,5,36,23
2203,Maalik Wayns,Villanova,2011,102,21,23,56,60,60,7,35,18
2204,Milton Jennings,Clemson,2009,10,0,7,3,23,23,1,9,13
2204,Milton Jennings,Clemson,2010,18,2,13,3,59,59,1,28,30
2204,Milton Jennings,Clemson,2011,28,2,16,10,52,52,1,25,26
2204,Milton Jennings,Clemson,2012,13,4,6,3,7,7,0,5,2
2205,Dominic Cheek,Villanova,2009,10,4,3,3,21,21,0,14,7
2205,Dominic Cheek,Villanova,2010,13,2,7,4,15,15,2,9,4
2205,Dominic Cheek,Villanova,2011,32,12,9,11,41,41,4,23,14
2206,Kenny Boynton,Florida,2009,81,21,33,27,64,64,3,27,34
2206,Kenny Boynton,Florida,2010,68,17,33,18,40,40,2,16,22
2206,Kenny Boynton,Florida,2011,90,14,21,55,43,43,4,18,21
2206,Kenny Boynton,Florida,2012,77,16,20,41,35,35,4,21,10
2207,David Wear,North Carolina,2009,8,4,1,3,18,18,0,9,9
2207,David Wear,UCLA,2011,20,2,12,6,29,29,6,18,5
2207,David Wear,UCLA,2012,27,7,14,6,21,21,1,10,10
2207,David Wear,UCLA,2013,26,8,13,5,31,31,4,11,16
2208,Travis Wear,North Carolina,2009,4,0,2,2,21,21,0,11,10
2208,Travis Wear,UCLA,2011,7,0,2,5,23,23,4,9,10
2208,Travis Wear,UCLA,2012,13,4,5,4,33,33,3,19,11
2208,Travis Wear,UCLA,2013,45,14,19,12,13,13,0,5,8
2209,John Henson,North Carolina,2009,32,13,11,8,40,40,1,17,22
2209,John Henson,North Carolina,2010,24,9,10,5,56,56,9,26,21
2209,John Henson,North Carolina,2011,41,19,11,11,37,37,4,19,14
2210,Wally Judge,Kansas State,2009,8,1,4,3,24,24,2,15,7
2210,Wally Judge,Kansas State,2010,16,3,5,8,28,28,2,11,15
2210,Wally Judge,Rutgers,2012,7,3,2,2,14,14,3,5,6
2210,Wally Judge,Rutgers,2013,3,1,1,1,17,17,3,9,5
2211,Abdul Gaddy,Washington,2009,72,16,34,22,56,56,3,26,27
2211,Abdul Gaddy,Washington,2010,49,10,18,21,16,16,0,6,10
2211,Abdul Gaddy,Washington,2011,160,46,53,61,64,64,5,34,25
2211,Abdul Gaddy,Washington,2012,126,41,42,43,86,86,12,36,38
2212,Tiny Gallon,Oklahoma,2009,5,0,2,3,32,32,7,13,12
2213,Tommy Mason-Griffin,Oklahoma,2009,59,12,15,32,34,34,1,23,10
2214,Mason Plumlee,Duke,2009,26,5,13,8,31,31,1,17,13
2214,Mason Plumlee,Duke,2010,48,5,20,23,61,61,1,28,32
2214,Mason Plumlee,Duke,2011,42,5,10,26,56,56,1,25,30
2214,Mason Plumlee,Duke,2012,59,3,20,36,89,89,4,44,41
2215,Renardo Sidney,Mississippi State,2010,2,0,0,2,10,10,0,5,5
2215,Renardo Sidney,Mississippi State,2011,13,0,8,5,36,36,1,10,25
2216,Michael Snaer,Florida State,2009,39,8,19,12,78,78,7,40,31
2216,Michael Snaer,Florida State,2010,56,11,24,20,73,73,3,37,33
2216,Michael Snaer,Florida State,2011,64,14,28,22,72,72,8,32,32
2216,Michael Snaer,Florida State,2012,21,8,8,5,27,27,3,12,12
2217,Solomon Alabi,Florida State,2009,16,1,8,7,53,53,3,17,33
2218,Matt Bouldin,Gonzaga,2009,105,11,64,30,63,63,4,32,27
2219,Craig Brackins,Iowa State,2009,68,16,28,24,64,64,5,37,22
2255,Mouphtaou Yarou,Villanova,2009,10,2,4,4,20,20,2,8,10
2255,Mouphtaou Yarou,Villanova,2010,9,2,4,3,25,25,4,7,14
2255,Mouphtaou Yarou,Villanova,2011,14,2,5,7,36,36,7,14,15
2255,Mouphtaou Yarou,Villanova,2012,24,5,8,11,44,44,3,26,15
2256,Kawhi Leonard,San Diego State,2009,49,7,27,15,54,54,5,23,26
2256,Kawhi Leonard,San Diego State,2010,66,12,28,26,47,47,5,25,17
2257,Daniel Orton,Kentucky,2009,14,0,12,2,29,29,3,14,12
2258,Brandon Knight,Kentucky,2010,151,21,56,74,109,109,5,68,36
2259,Corey Fisher,Villanova,2009,111,16,40,55,61,61,8,25,28
2259,Corey Fisher,Villanova,2010,101,28,23,49,50,50,2,31,17
2260,Damion James,Texas,2009,29,3,16,10,63,63,4,29,30
2272,Kevin Dillard,Southern Illinois,2009,16,5,5,6,20,20,1,12,7
2272,Kevin Dillard,Dayton,2011,163,18,70,75,68,68,5,37,26
2272,Kevin Dillard,Dayton,2012,119,31,64,24,83,83,5,40,38
2273,Brandon Paul,Illinois,2009,44,21,16,7,40,40,5,19,16
2273,Brandon Paul,Illinois,2010,69,18,29,22,56,56,7,34,15
2273,Brandon Paul,Illinois,2011,79,18,29,32,88,88,4,54,30
2273,Brandon Paul,Illinois,2012,84,18,16,50,86,86,4,53,29
2277,Jordan Hulls,Indiana,2009,6,2,4,0,19,19,1,9,9
2277,Jordan Hulls,Indiana,2010,94,24,35,34,54,54,1,33,20
2277,Jordan Hulls,Indiana,2011,108,18,55,35,67,67,2,44,21
2277,Jordan Hulls,Indiana,2012,92,19,40,33,38,38,0,20,18
2279,Manny Harris,Michigan,2009,111,19,40,52,74,74,4,35,35
2280,Terrico White,Ole Miss,2009,29,4,5,20,31,31,4,13,14
2282,Brandon Triche,Syracuse,2009,70,14,33,23,44,44,4,22,18
2282,Brandon Triche,Syracuse,2010,93,14,52,27,67,67,9,29,29
2282,Brandon Triche,Syracuse,2012,135,25,52,58,105,105,10,54,41
2283,Jonathan Mitchell,Rutgers,2009,16,0,9,7,11,11,1,5,5
2283,Jonathan Mitchell,Rutgers,2010,27,7,8,12,47,47,7,23,17
2284,Raymar Morgan,Michigan State,2009,47,16,24,7,54,54,10,23,21
2298,Patrick Christopher,California,2009,55,13,16,26,39,39,5,15,19
2300,Bryan Davis,Texas A&M,2009,50,5,22,23,60,60,7,31,22
2301,Malcolm Delaney,Virginia Tech,2009,114,30,48,36,73,73,6,33,34
2301,Malcolm Delaney,Virginia Tech,2010,103,27,45,31,74,74,5,27,42
2302,Devin Ebanks,West Virginia,2009,77,20,23,34,62,62,2,38,22
2303,Kenneth Faried,Morehead State,2009,2,0,1,1,7,7,0,1,6
2303,Kenneth Faried,Morehead State,2010,26,1,13,12,45,45,2,22,21
2304,Roderick Flemings,Hawaii,2009,2,0,2,0,2,2,0,0,2
2305,Paul George,Fresno State,2009,4,2,2,0,8,8,0,3,5
2306,Marcus Ginyard,North Carolina,2009,85,48,19,18,54,54,4,32,18
2307,Luke Harangody,Notre Dame,2009,44,2,17,25,52,52,5,26,21
2308,Lazar Hayward,Marquette,2009,47,10,18,19,59,59,10,28,21
2309,Robbie Hummel,Purdue,2009,45,22,13,10,24,24,4,11,9
2309,Robbie Hummel,Purdue,2011,64,22,5,37,30,30,3,11,16
2310,JaJuan Johnson,Purdue,2009,21,8,2,11,48,48,4,23,21
2310,JaJuan Johnson,Purdue,2010,30,8,9,13,52,52,4,33,15
2311,Jerome Jordan,Tulsa,2009,41,16,16,9,71,71,5,38,28
2312,Dwight Lewis,USC,2009,30,11,11,8,53,53,4,20,29
2313,Kalin Lucas,Michigan State,2009,93,30,43,20,60,60,8,29,23
2313,Kalin Lucas,Michigan State,2010,102,24,29,48,80,80,10,39,31
2315,A.J. Ogilvy,Vanderbilt,2009,23,2,13,8,45,45,3,21,21
2316,Arinze Onuaku,Syracuse,2009,12,3,3,6,29,29,8,7,14
2317,Quincy Pondexter,Washington,2009,49,4,24,21,60,60,12,23,25
2318,Stanley Robinson,Connecticut,2009,31,8,17,6,61,61,7,29,25
2319,Magnum Rolle,Louisiana Tech,2009,7,1,1,5,11,11,1,6,4
2321,Mac Koshwal,DePaul,2009,23,5,8,10,33,33,1,20,12
2322,Tyler Smith,Tennessee,2009,39,1,24,14,16,16,4,7,5
2323,Tyshawn Taylor,Kansas,2009,102,23,35,43,53,53,7,29,17
2323,Tyshawn Taylor,Kansas,2010,145,27,55,63,88,88,10,47,31
2323,Tyshawn Taylor,Kansas,2011,162,31,82,49,128,128,9,70,49
2324,Deon Thompson,North Carolina,2009,27,6,10,11,54,54,2,31,21
2325,Evan Turner,Ohio State,2009,131,14,51,65,102,102,3,62,37
2326,Jarvis Varnado,Mississippi State,2009,23,0,9,13,53,53,2,21,30
2327,Greivis Vasquez,Maryland,2009,175,44,70,61,96,96,7,57,32
2330,Michael Washington,Arkansas,2009,3,0,2,1,18,18,2,6,10
2331,Nic Wise,Arizona,2009,86,13,31,42,52,52,2,23,27
2347,Jamal Boykin,California,2009,33,3,16,14,34,34,4,15,15
2349,Ray Shipman,Florida,2009,12,3,5,4,17,17,0,9,8
2352,Mike Mercer,South Florida,2009,42,4,24,14,40,40,1,16,23
2353,Gary Johnson,Texas,2009,21,2,9,10,35,35,4,17,14
2353,Gary Johnson,Texas,2010,36,13,7,16,49,49,8,22,19
2354,E'Twaun Moore,Purdue,2009,76,47,11,18,60,60,9,25,26
2354,E'Twaun Moore,Purdue,2010,102,56,12,34,50,50,5,25,20
2355,Alex Legion,Illinois,2009,5,1,0,4,4,4,0,2,2
2355,Alex Legion,Florida International,2010,0,0,0,0,0,0,0,0,0
2356,Senario Hillman,Alabama,2009,57,10,34,13,56,56,1,25,30
2356,Senario Hillman,Alabama,2010,55,13,33,9,55,55,5,22,28
2357,Rick Jackson,Syracuse,2009,47,7,20,20,49,49,3,23,23
2357,Rick Jackson,Syracuse,2010,70,11,33,26,66,66,5,27,34
2358,Delvon Roe,Michigan State,2009,31,5,16,10,39,39,6,13,20
2358,Delvon Roe,Michigan State,2010,42,11,14,17,36,36,9,13,14
2359,Durrell Summers,Michigan State,2009,27,11,10,6,52,52,6,30,16
2359,Durrell Summers,Michigan State,2010,19,4,9,6,43,43,6,23,14
2360,Herb Pope,Seton Hall,2009,49,5,35,8,55,55,0,34,21
2360,Herb Pope,Seton Hall,2010,32,2,18,12,46,46,1,17,28
2360,Herb Pope,Seton Hall,2011,36,3,18,15,62,62,7,25,30
