GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,15,2,5,8,0,33,4,15,14
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,31,7,14,9,2,38,4,14,20
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,63,11,31,21,5,47,5,26,16
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,22,4,5,13,1,26,2,14,10
21952,Terence Jones,Texas A&M-CC,2009,Fr,64,8,34,22,7,72,9,37,26
21945,Jawan Nelson,Texas A&M-CC,2009,So,6,0,3,3,0,20,3,6,11
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,81,8,57,16,19,127,11,65,51
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,28,6,11,11,3,47,6,19,22
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,19,2,10,7,1,23,0,12,11
21940,Antonio Topps,Texas A&M-CC,2009,Jr,2,0,0,2,0,1,0,0,1
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,46,11,24,11,3,55,2,19,34
9502,Zach Bohannon,Air Force,2009,Fr,4,0,2,2,0,5,1,3,1
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,10,1,3,6,0,21,3,9,9
9486,Derek Brooks,Air Force,2009,Jr,6,0,3,3,0,11,0,7,4
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,4,1,0,2,0,5,2,0,3
9500,Todd Fletcher,Air Force,2009,Fr,57,3,37,17,4,33,0,20,13
9501,Tom Fow,Air Force,2009,Jr,17,4,9,4,1,16,1,7,8
9497,Shawn Hempsey,Air Force,2009,So,14,2,10,2,2,8,0,6,2
9492,Michael Lyons,Air Force,2009,Fr,45,7,18,20,0,40,2,14,24
9494,Mike McLain,Air Force,2009,Sr,32,4,6,22,0,58,8,22,28
9485,Avery Merriex,Air Force,2009,Sr,31,4,7,20,1,28,6,11,11
9488,Grant Parker,Air Force,2009,Sr,24,4,12,8,0,31,3,14,14
9496,Sammy Schafer,Air Force,2009,So,3,0,1,2,0,3,1,2,0
9498,Taylor Stewart,Air Force,2009,So,7,1,6,0,1,15,1,8,6
9487,Evan Washington,Air Force,2009,Jr,89,10,42,37,4,60,8,29,23
11186,Mike Bardo,Akron,2009,Jr,3,0,1,2,0,6,0,3,3
11191,Tim Carroll,Akron,2009,Sr,1,0,1,0,0,4,0,3,1
11184,Jimmy Conyers,Akron,2009,Sr,50,12,21,17,2,60,4,28,28
11187,Nikola Cvetinovic,Akron,2009,So,36,4,16,16,4,59,1,22,36
9441,Anthony Hitchens,Akron,2009,So,76,12,32,32,7,54,1,35,18
11192,Zeke Marshall,Akron,2009,Fr,15,3,8,4,0,50,3,26,21
11180,Brett McClanahan,Akron,2009,So,20,4,7,9,2,20,0,9,11
11179,Brett McKnight,Akron,2009,Jr,36,5,15,15,1,39,3,21,15
11182,Chris McKnight,Akron,2009,Sr,42,7,14,21,0,49,3,26,20
11190,Steve McNees,Akron,2009,Jr,79,21,25,33,4,38,0,21,17
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,0,0,0,0
11183,Darryl Roberts,Akron,2009,Jr,47,7,22,17,0,30,2,16,12
11188,Ronnie Steward,Akron,2009,Fr,11,3,2,6,0,15,0,7,8
11178,Alex Sullivan,Akron,2009,Fr,0,0,0,0,0,0,0,0,0
11189,Steve Swiech,Akron,2009,So,0,0,0,0,0,0,0,0,0
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,0,0,0,0,3,0,1,2
14648,Bo Amusa,Alabama A&M ,2009,Jr,18,1,12,4,2,29,3,15,11
14661,Pierre Andrews,Alabama A&M ,2009,So,0,0,0,0,0,1,0,0,1
14649,Casey Cantey,Alabama A&M ,2009,So,28,7,10,11,1,61,6,23,32
14653,Jabari Deshields,Alabama A&M ,2009,Jr,63,19,24,20,3,49,3,23,23
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,0,0,0,0,4,0,1,3
14663,Royce Hamilton,Alabama A&M ,2009,So,0,0,0,0,0,1,0,0,1
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,36,9,20,7,4,34,1,25,8
14652,Evan Hilton,Alabama A&M ,2009,Sr,20,2,13,5,2,47,5,23,19
