GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,1,100.00%,100.00%,0.00%,0.00%,0.00%,3,0.00%,100.00%,0.00%
21943,Horace Bond,Texas A&M-CC,2009,Jr,16,18.75%,31.25%,12.50%,56.25%,0.00%,38,10.53%,47.37%,42.11%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,38,28.95%,47.37%,21.05%,28.95%,7.89%,43,9.30%,41.86%,48.84%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,69,30.43%,49.28%,18.84%,31.88%,8.70%,51,9.80%,52.94%,37.25%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,25,28.00%,28.00%,16.00%,56.00%,4.00%,31,6.45%,51.61%,41.94%
21952,Terence Jones,Texas A&M-CC,2009,Fr,74,36.49%,55.41%,12.16%,32.43%,10.81%,79,12.66%,53.16%,34.18%
21945,Jawan Nelson,Texas A&M-CC,2009,So,6,16.67%,50.00%,0.00%,50.00%,0.00%,21,14.29%,28.57%,57.14%
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,88,40.91%,69.32%,10.23%,20.45%,22.73%,139,7.91%,53.96%,38.13%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,29,17.24%,37.93%,20.69%,41.38%,10.34%,49,12.24%,38.78%,48.98%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,21,19.05%,47.62%,14.29%,33.33%,4.76%,28,0.00%,50.00%,50.00%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,3,66.67%,0.00%,0.00%,100.00%,0.00%,2,0.00%,50.00%,50.00%
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,52,17.31%,50.00%,23.08%,26.92%,5.77%,59,3.39%,33.90%,62.71%
9502,Zach Bohannon,Air Force,2009,Fr,8,0.00%,25.00%,12.50%,62.50%,0.00%,6,16.67%,66.67%,16.67%
9484,Adam Brakeville,Air Force,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
9499,Taylor Broekhuis,Air Force,2009,Fr,11,0.00%,27.27%,9.09%,63.64%,0.00%,25,12.00%,44.00%,44.00%
9486,Derek Brooks,Air Force,2009,Jr,6,0.00%,50.00%,0.00%,50.00%,0.00%,11,0.00%,63.64%,36.36%
9495,Saj El-Amin,Air Force,2009,Sr,1,100.00%,0.00%,0.00%,100.00%,0.00%,0,NA,NA,NA
9493,Mike Fitzgerald,Air Force,2009,Fr,5,60.00%,20.00%,20.00%,40.00%,0.00%,10,20.00%,20.00%,60.00%
9500,Todd Fletcher,Air Force,2009,Fr,64,34.38%,64.06%,4.69%,31.25%,9.38%,37,0.00%,59.46%,40.54%
9501,Tom Fow,Air Force,2009,Jr,19,15.79%,52.63%,21.05%,26.32%,10.53%,18,5.56%,50.00%,44.44%
9497,Shawn Hempsey,Air Force,2009,So,18,38.89%,55.56%,11.11%,33.33%,11.11%,10,10.00%,60.00%,30.00%
9492,Michael Lyons,Air Force,2009,Fr,51,21.57%,41.18%,15.69%,43.14%,0.00%,45,4.44%,37.78%,57.78%
9494,Mike McLain,Air Force,2009,Sr,38,7.89%,21.05%,10.53%,68.42%,0.00%,60,13.33%,40.00%,46.67%
9485,Avery Merriex,Air Force,2009,Sr,35,8.57%,25.71%,14.29%,60.00%,2.86%,32,21.88%,43.75%,34.38%
9488,Grant Parker,Air Force,2009,Sr,24,12.50%,50.00%,16.67%,33.33%,0.00%,34,8.82%,47.06%,44.12%
