GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,3,0.00%,0.00%,33.33%,66.67%,0.00%,6,0.00%,66.67%,33.33%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,13,30.77%,38.46%,15.38%,38.46%,7.69%,15,6.67%,60.00%,33.33%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,10,10.00%,30.00%,40.00%,30.00%,0.00%,13,0.00%,69.23%,30.77%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,12,41.67%,33.33%,8.33%,58.33%,8.33%,9,0.00%,66.67%,33.33%
21952,Terence Jones,Texas A&M-CC,2009,Fr,22,22.73%,50.00%,13.64%,36.36%,13.64%,30,13.33%,53.33%,33.33%
21945,Jawan Nelson,Texas A&M-CC,2009,So,2,0.00%,0.00%,0.00%,100.00%,0.00%,7,14.29%,28.57%,57.14%
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,17,23.53%,70.59%,11.76%,17.65%,29.41%,38,7.89%,44.74%,47.37%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,6,33.33%,50.00%,0.00%,50.00%,0.00%,12,16.67%,33.33%,50.00%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,6,33.33%,33.33%,0.00%,66.67%,0.00%,6,0.00%,33.33%,66.67%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,16,37.50%,81.25%,6.25%,12.50%,6.25%,15,0.00%,33.33%,66.67%
9502,Zach Bohannon,Air Force,2009,Fr,2,0.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,66.67%,33.33%
9484,Adam Brakeville,Air Force,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
