GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,15,20.00%,33.33%,13.33%,53.33%,0.00%,33,12.12%,45.45%,42.42%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,31,25.81%,45.16%,22.58%,29.03%,6.45%,38,10.53%,36.84%,52.63%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,63,26.98%,49.21%,17.46%,33.33%,7.94%,47,10.64%,55.32%,34.04%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,22,31.82%,22.73%,18.18%,59.09%,4.55%,26,7.69%,53.85%,38.46%
21952,Terence Jones,Texas A&M-CC,2009,Fr,64,35.94%,53.13%,12.50%,34.38%,10.94%,72,12.50%,51.39%,36.11%
21945,Jawan Nelson,Texas A&M-CC,2009,So,6,16.67%,50.00%,0.00%,50.00%,0.00%,20,15.00%,30.00%,55.00%
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,81,40.74%,70.37%,9.88%,19.75%,23.46%,127,8.66%,51.18%,40.16%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,28,17.86%,39.29%,21.43%,39.29%,10.71%,47,12.77%,40.43%,46.81%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,19,15.79%,52.63%,10.53%,36.84%,5.26%,23,0.00%,52.17%,47.83%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,2,100.00%,0.00%,0.00%,100.00%,0.00%,1,0.00%,0.00%,100.00%
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,46,17.39%,52.17%,23.91%,23.91%,6.52%,55,3.64%,34.55%,61.82%
9502,Zach Bohannon,Air Force,2009,Fr,4,0.00%,50.00%,0.00%,50.00%,0.00%,5,20.00%,60.00%,20.00%
9484,Adam Brakeville,Air Force,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
