GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
21946,Jeremy Allen,Texas A&M-CC,2009,So,0.00%,0.00%,NA,NA,0.00%,NA,0.00%,0.00%,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,0.00%,0.00%,0.00%,0.00%,0.00%,NA,0.00%,0.00%,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,5.97%,3.13%,0.00%,30.00%,25.00%,56.25%,7.46%,3.13%,0.00%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,0.00%,0.00%,0.00%,33.33%,31.58%,33.33%,30.77%,3.13%,0.00%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,11.54%,18.75%,2.33%,81.82%,25.00%,34.48%,3.85%,0.00%,0.00%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,4.35%,3.33%,0.00%,66.67%,50.00%,30.43%,13.04%,3.33%,0.00%
21952,Terence Jones,Texas A&M-CC,2009,Fr,10.87%,12.50%,0.00%,58.62%,36.67%,32.81%,0.00%,0.00%,NA
21945,Jawan Nelson,Texas A&M-CC,2009,So,7.14%,16.67%,0.00%,33.33%,44.44%,23.53%,0.00%,0.00%,NA
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,9.73%,7.45%,0.00%,64.79%,37.50%,37.96%,10.27%,1.06%,4.76%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,9.65%,5.38%,0.00%,51.28%,37.93%,31.03%,9.65%,2.15%,0.00%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,0.00%,3.33%,0.00%,50.00%,35.00%,47.37%,9.68%,0.00%,0.00%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0.00%,0.00%,0.00%,NA,16.67%,22.22%,0.00%,14.29%,0.00%
21944,Jacob Warnell,Texas A&M-CC,2009,So,0.00%,NA,NA,NA,NA,NA,0.00%,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,5.82%,13.33%,0.00%,37.74%,44.44%,0.00%,14.81%,8.89%,3.23%
9502,Zach Bohannon,Air Force,2009,Fr,0.00%,33.33%,0.00%,33.33%,0.00%,33.33%,14.29%,0.00%,0.00%
9484,Adam Brakeville,Air Force,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
9499,Taylor Broekhuis,Air Force,2009,Fr,14.81%,15.79%,0.00%,41.67%,16.67%,16.67%,14.81%,0.00%,0.00%
9486,Derek Brooks,Air Force,2009,Jr,10.00%,0.00%,0.00%,0.00%,18.18%,21.43%,10.00%,0.00%,0.00%
9495,Saj El-Amin,Air Force,2009,Sr,100.00%,50.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,NA
9493,Mike Fitzgerald,Air Force,2009,Fr,0.00%,10.00%,3.70%,NA,14.29%,40.63%,0.00%,0.00%,NA
9500,Todd Fletcher,Air Force,2009,Fr,3.57%,0.00%,0.00%,20.00%,16.67%,31.71%,3.57%,0.00%,0.00%
9501,Tom Fow,Air Force,2009,Jr,9.68%,10.00%,0.85%,25.00%,45.16%,23.29%,9.68%,4.00%,0.00%
9497,Shawn Hempsey,Air Force,2009,So,20.00%,14.29%,0.00%,0.00%,50.00%,33.33%,0.00%,0.00%,NA
9492,Michael Lyons,Air Force,2009,Fr,12.73%,8.33%,0.00%,22.73%,28.57%,20.59%,14.55%,6.94%,0.00%
9494,Mike McLain,Air Force,2009,Sr,10.61%,16.67%,0.00%,17.39%,11.11%,14.71%,4.55%,8.33%,0.00%
9485,Avery Merriex,Air Force,2009,Sr,4.76%,8.70%,0.00%,50.00%,40.00%,20.00%,4.76%,0.00%,0.00%
9488,Grant Parker,Air Force,2009,Sr,8.82%,10.20%,0.00%,30.00%,20.00%,16.36%,8.82%,2.04%,0.00%
9496,Sammy Schafer,Air Force,2009,So,0.00%,0.00%,0.00%,100.00%,40.00%,66.67%,0.00%,0.00%,NA
9498,Taylor Stewart,Air Force,2009,So,8.33%,0.00%,0.00%,40.00%,16.67%,0.00%,4.17%,6.67%,0.00%
9487,Evan Washington,Air Force,2009,Jr,8.08%,15.38%,0.00%,34.38%,29.69%,11.11%,9.09%,2.20%,0.00%
11186,Mike Bardo,Akron,2009,Jr,12.50%,40.00%,NA,50.00%,60.00%,NA,50.00%,0.00%,0.00%
11191,Tim Carroll,Akron,2009,Sr,0.00%,0.00%,0.00%,NA,0.00%,0.00%,50.00%,0.00%,0.00%
11184,Jimmy Conyers,Akron,2009,Sr,7.35%,13.16%,0.00%,46.81%,25.93%,39.47%,22.79%,0.00%,3.23%
11187,Nikola Cvetinovic,Akron,2009,So,12.00%,3.77%,0.00%,48.48%,30.00%,25.00%,14.67%,3.77%,0.00%
9441,Anthony Hitchens,Akron,2009,So,8.96%,1.43%,0.00%,34.29%,31.11%,47.47%,1.49%,1.43%,0.00%
11192,Zeke Marshall,Akron,2009,Fr,8.14%,1.52%,0.00%,27.03%,30.23%,0.00%,18.60%,7.58%,4.76%
11180,Brett McClanahan,Akron,2009,So,0.00%,0.00%,2.56%,20.00%,20.00%,28.85%,18.18%,5.00%,0.00%
11179,Brett McKnight,Akron,2009,Jr,3.48%,0.88%,0.00%,48.94%,33.75%,34.92%,20.00%,0.88%,0.00%
11182,Chris McKnight,Akron,2009,Sr,7.32%,4.41%,0.00%,45.24%,29.55%,30.77%,16.26%,2.94%,0.00%
11190,Steve McNees,Akron,2009,Jr,18.18%,13.64%,0.00%,45.00%,20.00%,43.97%,6.06%,4.55%,0.00%
11185,Kyle Petersen,Akron,2009,So,NA,NA,0.00%,NA,NA,100.00%,NA,NA,NA
11183,Darryl Roberts,Akron,2009,Jr,3.85%,3.95%,0.00%,30.77%,48.89%,35.85%,3.85%,6.58%,0.00%
11188,Ronnie Steward,Akron,2009,Fr,11.11%,0.00%,0.00%,44.44%,0.00%,100.00%,0.00%,0.00%,NA
11178,Alex Sullivan,Akron,2009,Fr,NA,0.00%,NA,NA,NA,NA,NA,0.00%,NA
11189,Steve Swiech,Akron,2009,So,0.00%,NA,NA,33.33%,NA,NA,0.00%,NA,NA
14647,Antonio Adams,Alabama A&M ,2009,Fr,0.00%,NA,0.00%,NA,NA,66.67%,100.00%,NA,0.00%
14648,Bo Amusa,Alabama A&M ,2009,Jr,11.32%,8.24%,0.00%,37.50%,41.07%,77.78%,13.21%,3.53%,6.25%
14661,Pierre Andrews,Alabama A&M ,2009,So,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
14649,Casey Cantey,Alabama A&M ,2009,So,14.47%,7.94%,0.00%,38.10%,34.04%,30.43%,7.55%,4.76%,0.00%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,6.90%,2.86%,0.00%,38.10%,42.86%,35.29%,6.90%,0.00%,0.00%
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0.00%,0.00%,NA,100.00%,0.00%,NA,0.00%,0.00%,NA
14663,Royce Hamilton,Alabama A&M ,2009,So,14.29%,0.00%,0.00%,20.00%,0.00%,33.33%,0.00%,0.00%,NA
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,6.67%,3.10%,1.40%,50.00%,46.67%,27.27%,8.89%,1.55%,14.29%
14652,Evan Hilton,Alabama A&M ,2009,Sr,17.98%,8.16%,2.08%,50.00%,30.00%,28.57%,12.36%,0.00%,0.00%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,13.64%,19.05%,NA,50.00%,12.50%,NA,9.09%,4.76%,0.00%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,21.43%,0.00%,0.00%,20.00%,28.57%,38.71%,7.14%,0.00%,0.00%
14660,Maurice Kemp,Alabama A&M ,2009,Fr,14.49%,8.70%,0.00%,28.13%,35.71%,40.00%,18.84%,0.00%,0.00%
