GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
21946,Jeremy Allen,Texas A&M-CC,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,7.14%,6.67%,0.00%,16.67%,33.33%,100.00%,14.29%,0.00%,0.00%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,0.00%,0.00%,0.00%,NA,50.00%,16.67%,50.00%,0.00%,0.00%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,33.33%,0.00%,14.29%,50.00%,100.00%,60.00%,0.00%,0.00%,NA
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,0.00%,0.00%,0.00%,100.00%,77.78%,40.00%,0.00%,0.00%,NA
21952,Terence Jones,Texas A&M-CC,2009,Fr,23.53%,13.04%,0.00%,56.25%,35.29%,36.36%,0.00%,0.00%,NA
21945,Jawan Nelson,Texas A&M-CC,2009,So,25.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,NA
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,11.11%,8.00%,0.00%,80.00%,21.05%,44.44%,13.33%,0.00%,0.00%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,9.09%,12.50%,0.00%,40.00%,25.00%,37.50%,4.55%,4.17%,0.00%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,0.00%,6.25%,0.00%,50.00%,27.27%,60.00%,10.00%,0.00%,0.00%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,NA,NA,NA,NA,NA,NA,NA,NA,NA
21944,Jacob Warnell,Texas A&M-CC,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,9.26%,13.33%,NA,43.75%,55.56%,NA,31.48%,13.33%,5.56%
9502,Zach Bohannon,Air Force,2009,Fr,0.00%,33.33%,0.00%,100.00%,0.00%,33.33%,25.00%,0.00%,0.00%
9484,Adam Brakeville,Air Force,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
9499,Taylor Broekhuis,Air Force,2009,Fr,10.00%,0.00%,0.00%,25.00%,25.00%,0.00%,10.00%,0.00%,0.00%
9486,Derek Brooks,Air Force,2009,Jr,22.22%,0.00%,0.00%,0.00%,20.00%,25.00%,0.00%,0.00%,NA
9495,Saj El-Amin,Air Force,2009,Sr,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,NA
9493,Mike Fitzgerald,Air Force,2009,Fr,0.00%,0.00%,8.00%,NA,0.00%,20.00%,0.00%,0.00%,NA
9500,Todd Fletcher,Air Force,2009,Fr,0.00%,0.00%,0.00%,0.00%,0.00%,42.11%,0.00%,0.00%,NA
9501,Tom Fow,Air Force,2009,Jr,16.67%,15.38%,2.56%,0.00%,25.00%,24.00%,0.00%,7.69%,0.00%
9497,Shawn Hempsey,Air Force,2009,So,NA,0.00%,0.00%,NA,NA,50.00%,NA,0.00%,NA
9492,Michael Lyons,Air Force,2009,Fr,15.79%,11.11%,0.00%,0.00%,23.53%,20.00%,15.79%,7.41%,0.00%
9494,Mike McLain,Air Force,2009,Sr,5.88%,0.00%,0.00%,0.00%,0.00%,9.09%,0.00%,0.00%,NA
9485,Avery Merriex,Air Force,2009,Sr,0.00%,0.00%,0.00%,50.00%,44.44%,0.00%,12.50%,0.00%,0.00%
9488,Grant Parker,Air Force,2009,Sr,7.14%,8.70%,0.00%,12.50%,15.38%,26.32%,7.14%,4.35%,0.00%
9496,Sammy Schafer,Air Force,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
9498,Taylor Stewart,Air Force,2009,So,NA,0.00%,NA,NA,0.00%,NA,NA,25.00%,0.00%
9487,Evan Washington,Air Force,2009,Jr,5.00%,15.79%,0.00%,37.50%,23.08%,0.00%,10.00%,2.63%,0.00%
11186,Mike Bardo,Akron,2009,Jr,40.00%,NA,NA,50.00%,NA,NA,60.00%,NA,0.00%
11191,Tim Carroll,Akron,2009,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
11184,Jimmy Conyers,Akron,2009,Sr,6.00%,10.00%,0.00%,60.87%,20.00%,36.36%,24.00%,0.00%,8.33%
11187,Nikola Cvetinovic,Akron,2009,So,12.20%,6.25%,0.00%,60.00%,35.71%,0.00%,14.63%,0.00%,0.00%
9441,Anthony Hitchens,Akron,2009,So,5.88%,0.00%,0.00%,40.00%,25.00%,51.85%,0.00%,0.00%,NA
11192,Zeke Marshall,Akron,2009,Fr,23.08%,0.00%,NA,12.50%,33.33%,NA,23.08%,15.79%,0.00%
11180,Brett McClanahan,Akron,2009,So,0.00%,0.00%,0.00%,NA,33.33%,62.50%,0.00%,0.00%,NA
11179,Brett McKnight,Akron,2009,Jr,12.50%,3.85%,0.00%,46.67%,33.33%,28.57%,29.17%,3.85%,0.00%
11182,Chris McKnight,Akron,2009,Sr,14.29%,0.00%,0.00%,41.67%,50.00%,33.33%,17.14%,0.00%,0.00%
11190,Steve McNees,Akron,2009,Jr,23.08%,0.00%,0.00%,30.00%,40.00%,40.48%,15.38%,0.00%,0.00%
11185,Kyle Petersen,Akron,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
11183,Darryl Roberts,Akron,2009,Jr,0.00%,5.26%,0.00%,33.33%,44.44%,50.00%,0.00%,5.26%,0.00%
