GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
21946,Jeremy Allen,Texas A&M-CC,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
21950,Mike Bables,Texas A&M-CC,2009,Fr,0.00%,NA,NA,NA,NA,NA,0.00%,NA,NA
21943,Horace Bond,Texas A&M-CC,2009,Jr,6.25%,3.13%,0.00%,30.00%,25.00%,53.33%,7.81%,3.13%,0.00%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,0.00%,0.00%,0.00%,50.00%,33.33%,35.29%,36.36%,3.33%,0.00%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,12.00%,18.75%,0.00%,80.00%,25.00%,33.33%,4.00%,0.00%,0.00%
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,5.00%,4.17%,0.00%,71.43%,44.44%,30.00%,15.00%,0.00%,0.00%
21952,Terence Jones,Texas A&M-CC,2009,Fr,12.20%,12.82%,0.00%,61.54%,37.93%,31.03%,0.00%,0.00%,NA
21945,Jawan Nelson,Texas A&M-CC,2009,So,7.14%,16.67%,0.00%,33.33%,44.44%,15.38%,0.00%,0.00%,NA
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,10.24%,8.05%,0.00%,61.54%,36.54%,38.61%,10.84%,1.15%,5.00%
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,10.19%,5.81%,0.00%,51.35%,35.19%,29.63%,8.33%,2.33%,0.00%
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,0.00%,3.45%,0.00%,44.44%,35.00%,43.75%,15.00%,0.00%,0.00%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0.00%,0.00%,0.00%,NA,33.33%,16.67%,0.00%,0.00%,NA
21944,Jacob Warnell,Texas A&M-CC,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
21941,Demond Watt,Texas A&M-CC,2009,Jr,5.95%,15.79%,0.00%,38.78%,40.00%,0.00%,12.50%,7.89%,4.35%
9502,Zach Bohannon,Air Force,2009,Fr,0.00%,0.00%,0.00%,0.00%,NA,33.33%,10.00%,0.00%,0.00%
9484,Adam Brakeville,Air Force,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
9499,Taylor Broekhuis,Air Force,2009,Fr,16.67%,16.67%,0.00%,41.67%,9.09%,16.67%,12.50%,0.00%,0.00%
9486,Derek Brooks,Air Force,2009,Jr,5.26%,0.00%,0.00%,0.00%,12.50%,18.18%,10.53%,0.00%,0.00%
