GMID,Name,School,Year,Position,BS2P,PerRimABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,DunkedPutbacks,PerPBDunked,PutbacksOwn,PerS2APB,PerL2PAPB
1945,Tweety Carter,Baylor,2009,Guard,27.12%,70.38%,46.24%,56.43%,66.92%,0.00%,NR,49.68%,NR,NR
1946,Sherron Collins,Kansas,2009,Guard,90.36%,26.25%,61.33%,47.90%,80.38%,0.00%,NR,0.00%,NR,NR
1947,Jon Scheyer,Duke,2009,Guard,37.08%,69.80%,46.63%,84.41%,69.97%,0.00%,NR,91.24%,NR,NR
1950,Scottie Reynolds,Villanova,2009,Guard,77.61%,54.44%,78.80%,45.34%,48.29%,0.00%,NR,72.99%,NR,NR
2048,Kyle Bailey,Connecticut,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
2048,Kyle Bailey,Connecticut,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
2048,Kyle Bailey,Connecticut,2011,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
2153,Jai Lucas,Texas,2009,Guard,15.66%,NR,NR,97.71%,87.20%,0.00%,NR,0.00%,NR,NR
2153,Jai Lucas,Texas,2010,Guard,15.66%,62.93%,86.82%,87.32%,44.53%,0.00%,NR,49.68%,NR,NR
2154,Nolan Smith,Duke,2009,Guard,85.31%,57.56%,42.37%,84.39%,87.58%,78.83%,NR,85.37%,NR,NR
2154,Nolan Smith,Duke,2010,Guard,90.36%,59.75%,75.46%,75.07%,46.47%,0.00%,NR,99.40%,NR,NR
2155,Austin Freeman,Georgetown,2009,Guard,96.25%,41.10%,51.23%,11.81%,53.33%,78.83%,NR,72.99%,NR,NR
2155,Austin Freeman,Georgetown,2010,Guard,81.89%,57.54%,63.44%,26.07%,55.98%,0.00%,NR,49.68%,NR,NR
2157,Chris Wright,Georgetown,2009,Guard,99.14%,33.25%,46.24%,17.14%,42.42%,0.00%,NR,85.37%,NR,NR
2157,Chris Wright,Georgetown,2010,Guard,98.55%,13.65%,74.71%,83.21%,85.63%,0.00%,NR,49.68%,NR,NR
2172,Larry Drew,North Carolina,2009,Guard,45.93%,43.69%,87.43%,93.75%,79.08%,0.00%,NR,85.37%,NR,NR
2172,Larry Drew,North Carolina,2010,Guard,15.66%,NR,NR,86.89%,31.80%,0.00%,NR,0.00%,NR,NR
2172,Larry Drew,UCLA,2012,Guard,81.89%,29.80%,34.40%,29.64%,73.94%,0.00%,NR,0.00%,NR,NR
2181,Kemba Walker,Connecticut,2009,Guard,92.32%,30.86%,88.84%,74.63%,89.82%,0.00%,NR,85.37%,NR,NR
2181,Kemba Walker,Connecticut,2010,Guard,99.48%,32.58%,75.60%,80.46%,80.40%,0.00%,NR,97.09%,NR,NR
2182,Malcolm Lee,UCLA,2009,Guard,61.46%,63.50%,91.55%,47.95%,45.25%,0.00%,NR,85.37%,NR,NR
2182,Malcolm Lee,UCLA,2010,Guard,81.89%,54.98%,29.40%,67.10%,62.78%,0.00%,NR,72.99%,NR,NR
2183,Iman Shumpert,Georgia Tech,2009,Guard,54.29%,57.14%,74.35%,59.19%,90.00%,92.00%,NR,49.68%,NR,NR
2183,Iman Shumpert,Georgia Tech,2010,Guard,67.51%,64.44%,5.75%,16.92%,35.92%,0.00%,NR,49.68%,NR,NR
2189,Elliot Williams,Memphis,2009,Guard,93.96%,48.44%,6.43%,74.77%,22.77%,0.00%,NR,85.37%,NR,NR
2190,Mike Rosario,Rutgers,2009,Guard,99.14%,13.17%,78.71%,55.71%,57.34%,0.00%,NR,94.99%,NR,NR
2190,Mike Rosario,Florida,2011,Guard,45.93%,40.53%,25.02%,95.19%,49.13%,0.00%,NR,0.00%,NR,NR
2190,Mike Rosario,Florida,2012,Guard,67.51%,58.23%,34.40%,54.31%,71.15%,0.00%,NR,0.00%,NR,NR
2194,Avery Bradley,Texas,2009,Guard,95.31%,11.06%,83.69%,67.69%,82.39%,78.83%,NR,72.99%,NR,NR
2195,John Wall,Kentucky,2009,Guard,61.46%,70.17%,54.65%,76.92%,87.28%,78.83%,NR,72.99%,NR,NR
2197,Xavier Henry,Kansas,2009,Guard,72.85%,50.21%,62.93%,60.81%,80.01%,92.00%,NR,85.37%,NR,NR
2200,Peyton Siva,Louisville,2009,Guard,27.12%,61.35%,42.37%,93.46%,96.74%,0.00%,NR,0.00%,NR,NR
2200,Peyton Siva,Louisville,2010,Guard,93.96%,33.77%,59.76%,21.16%,33.83%,0.00%,NR,0.00%,NR,NR
2200,Peyton Siva,Louisville,2011,Guard,95.31%,36.80%,54.14%,62.97%,33.72%,0.00%,NR,0.00%,NR,NR
2200,Peyton Siva,Louisville,2012,Guard,61.46%,63.79%,37.29%,70.88%,79.79%,0.00%,NR,49.68%,NR,NR
2203,Maalik Wayns,Villanova,2009,Guard,90.36%,18.66%,85.10%,93.46%,90.81%,0.00%,NR,49.68%,NR,NR
2203,Maalik Wayns,Villanova,2010,Guard,88.15%,30.25%,81.76%,70.79%,66.30%,0.00%,NR,85.37%,NR,NR
2203,Maalik Wayns,Villanova,2011,Guard,88.15%,43.69%,28.77%,93.64%,62.78%,0.00%,NR,49.68%,NR,NR
2206,Kenny Boynton,Florida,2009,Guard,77.61%,48.35%,80.00%,87.57%,82.78%,0.00%,NR,98.40%,NR,NR
2206,Kenny Boynton,Florida,2010,Guard,61.46%,56.26%,82.32%,82.12%,78.38%,0.00%,NR,49.68%,NR,NR
2206,Kenny Boynton,Florida,2011,Guard,81.89%,40.17%,63.18%,68.47%,73.25%,0.00%,NR,72.99%,NR,NR
2206,Kenny Boynton,Florida,2012,Guard,27.12%,71.10%,79.82%,93.58%,76.33%,0.00%,NR,0.00%,NR,NR
2211,Abdul Gaddy,Washington,2009,Guard,37.08%,52.71%,58.60%,87.73%,68.29%,0.00%,NR,49.68%,NR,NR
2211,Abdul Gaddy,Washington,2010,Guard,15.66%,68.29%,50.22%,93.46%,85.63%,0.00%,NR,0.00%,NR,NR
2211,Abdul Gaddy,Washington,2011,Guard,81.89%,23.05%,31.85%,87.50%,54.68%,0.00%,NR,72.99%,NR,NR
2211,Abdul Gaddy,Washington,2012,Guard,45.93%,68.33%,84.65%,83.40%,62.78%,0.00%,NR,97.09%,NR,NR
2213,Tommy Mason-Griffin,Oklahoma,2009,Guard,77.61%,20.89%,50.86%,44.12%,28.51%,0.00%,NR,49.68%,NR,NR
2258,Brandon Knight,Kentucky,2010,Guard,77.61%,59.22%,16.38%,36.07%,64.05%,78.83%,NR,85.37%,NR,NR
2259,Corey Fisher,Villanova,2009,Guard,77.61%,57.60%,78.94%,69.41%,50.00%,0.00%,NR,91.24%,NR,NR
2259,Corey Fisher,Villanova,2010,Guard,92.32%,16.07%,92.00%,37.75%,57.09%,0.00%,NR,49.68%,NR,NR
2272,Kevin Dillard,Southern Illinois,2009,Guard,67.51%,44.61%,16.38%,32.29%,41.25%,0.00%,NR,0.00%,NR,NR
2272,Kevin Dillard,Dayton,2011,Guard,88.15%,36.76%,44.66%,84.82%,65.80%,0.00%,NR,49.68%,NR,NR
2272,Kevin Dillard,Dayton,2012,Guard,93.96%,21.95%,37.41%,74.93%,79.63%,0.00%,NR,0.00%,NR,NR
2273,Brandon Paul,Illinois,2009,Guard,45.93%,63.71%,54.65%,46.45%,71.15%,78.83%,NR,91.24%,NR,NR
2273,Brandon Paul,Illinois,2010,Guard,61.46%,53.67%,38.26%,78.38%,31.80%,0.00%,NR,72.99%,NR,NR
2273,Brandon Paul,Illinois,2011,Guard,67.51%,52.71%,38.26%,40.62%,41.05%,0.00%,NR,94.99%,NR,NR
2273,Brandon Paul,Illinois,2012,Guard,67.51%,57.64%,83.69%,48.02%,56.38%,0.00%,NR,49.68%,NR,NR
2277,Jordan Hulls,Indiana,2009,Guard,15.66%,NR,NR,28.07%,46.41%,0.00%,NR,0.00%,NR,NR
2277,Jordan Hulls,Indiana,2010,Guard,61.46%,16.07%,92.58%,32.49%,38.38%,0.00%,NR,0.00%,NR,NR
2277,Jordan Hulls,Indiana,2011,Guard,27.12%,64.73%,74.35%,76.88%,96.16%,0.00%,NR,0.00%,NR,NR
2277,Jordan Hulls,Indiana,2012,Guard,15.66%,59.22%,74.35%,93.46%,74.41%,0.00%,NR,0.00%,NR,NR
2279,Manny Harris,Michigan,2009,Guard,85.31%,37.36%,30.92%,64.18%,44.53%,0.00%,NR,99.40%,NR,NR
2280,Terrico White,Ole Miss,2009,Guard,45.93%,62.22%,62.70%,18.93%,90.06%,92.00%,NR,85.37%,NR,NR
2282,Brandon Triche,Syracuse,2009,Guard,37.08%,67.14%,54.14%,85.38%,90.91%,0.00%,NR,85.37%,NR,NR
2282,Brandon Triche,Syracuse,2010,Guard,45.93%,67.14%,54.65%,74.83%,85.63%,0.00%,NR,97.09%,NR,NR
2282,Brandon Triche,Syracuse,2012,Guard,85.31%,56.46%,62.15%,86.50%,78.55%,0.00%,NR,72.99%,NR,NR
2304,Roderick Flemings,Hawaii,2009,Guard,72.85%,50.52%,62.93%,85.45%,52.29%,78.83%,NR,99.63%,NR,NR
2312,Dwight Lewis,USC,2009,Guard,45.93%,57.54%,52.03%,61.87%,38.93%,0.00%,NR,49.68%,NR,NR
2313,Kalin Lucas,Michigan State,2009,Guard,92.32%,26.45%,81.53%,74.54%,90.93%,0.00%,NR,72.99%,NR,NR
2313,Kalin Lucas,Michigan State,2010,Guard,90.36%,44.70%,11.24%,75.84%,79.87%,0.00%,NR,49.68%,NR,NR
