GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
1945,Tweety Carter,Baylor,2009,0,0,0,0,0,0,0,3,0,0,6
1946,Sherron Collins,Kansas,2009,2,1,1,0,0,0,0,1,1,0,3
1947,Jon Scheyer,Duke,2009,9,3,5,1,2,3,0,1,2,0,6
1948,Lance Thomas,Duke,2009,6,2,2,0,1,0,0,2,3,0,1
1949,Vernon Macklin,Florida,2009,29,17,12,0,6,4,0,2,12,0,0
1949,Vernon Macklin,Florida,2010,25,11,13,1,6,5,0,1,3,0,1
1950,Scottie Reynolds,Villanova,2009,4,3,1,0,1,0,0,2,1,0,14
1951,James Keefe,UCLA,2009,12,10,2,0,8,1,0,0,1,0,0
1953,Tasmin Mitchell,LSU,2009,16,7,7,0,4,6,0,1,1,0,1
1954,Eric Boateng,Arizona State,2009,25,3,20,1,2,11,1,1,6,0,1
2048,Kyle Bailey,Connecticut,2009,0,0,0,0,0,0,0,0,0,0,0
2048,Kyle Bailey,Connecticut,2010,0,0,0,0,0,0,0,0,0,0,0
2048,Kyle Bailey,Connecticut,2011,0,0,0,0,0,0,0,0,0,0,0
2151,Kyle Singler,Duke,2009,31,6,22,2,4,9,1,1,3,0,1
2151,Kyle Singler,Duke,2010,12,5,7,0,4,3,0,3,2,0,1
2152,Patrick Patterson,Kentucky,2009,43,20,23,0,13,10,0,1,0,0,5
2153,Jai Lucas,Texas,2009,2,2,0,0,1,0,0,0,0,0,0
2153,Jai Lucas,Texas,2010,0,0,0,0,0,0,0,2,0,0,1
2154,Nolan Smith,Duke,2009,8,6,1,1,3,1,1,3,1,0,6
2154,Nolan Smith,Duke,2010,3,2,1,0,1,1,0,2,1,1,9
2155,Austin Freeman,Georgetown,2009,7,4,1,2,2,1,1,0,2,0,5
2155,Austin Freeman,Georgetown,2010,5,2,2,1,1,1,0,0,0,0,1
2156,Corey Stokes,Villanova,2009,13,7,6,0,6,3,0,0,2,0,1
2156,Corey Stokes,Villanova,2010,6,3,3,0,1,2,0,1,1,0,1
2157,Chris Wright,Georgetown,2009,8,3,2,3,1,1,1,0,2,0,11
2157,Chris Wright,Georgetown,2010,3,2,0,1,1,0,1,0,2,0,8
2158,James Anderson,Oklahoma State,2009,19,3,12,2,3,9,0,1,5,0,7
2159,Cole Aldrich,Kansas,2009,110,51,58,0,27,33,0,1,4,1,0
2160,Taylor King,Villanova,2009,15,6,8,1,2,4,0,3,5,0,2
2161,Gani Lawal,Georgia Tech,2009,49,23,25,0,13,18,0,1,3,0,2
