GMID,Name,School,Year,Grade,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,1,0,1,0,0,1,0,0,0,0,0
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,1,1,0,0,0,0,0,0,0,0,0
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,0,0,0,0,0,0,0,1,1,0,0
21952,Terence Jones,Texas A&M-CC,2009,Fr,1,0,1,0,0,1,0,0,2,0,0
21945,Jawan Nelson,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,1,1,0,0,0,0,0,0,2,0,5
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,6,2,3,1,2,2,0,0,1,0,1
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,5,0,5,0,0,4,0,0,0,0,0
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,3,0,1,2,0,1,2,0,0,0,0
9502,Zach Bohannon,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,1,0,1,0,0,0,0,0,0,0,0
9486,Derek Brooks,Air Force,2009,Jr,0,0,0,0,0,0,0,0,1,0,1
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,0,0,0,0,0,0,0,1,0,0,0
9500,Todd Fletcher,Air Force,2009,Fr,1,1,0,0,1,0,0,0,1,0,1
9501,Tom Fow,Air Force,2009,Jr,0,0,0,0,0,0,0,1,1,0,0
9497,Shawn Hempsey,Air Force,2009,So,0,0,0,0,0,0,0,0,0,0,0
9492,Michael Lyons,Air Force,2009,Fr,0,0,0,0,0,0,0,0,1,0,0
9494,Mike McLain,Air Force,2009,Sr,1,1,0,0,1,0,0,1,1,0,0
9485,Avery Merriex,Air Force,2009,Sr,1,1,0,0,1,0,0,0,0,0,0
9488,Grant Parker,Air Force,2009,Sr,4,2,0,2,1,0,0,0,0,0,0
9496,Sammy Schafer,Air Force,2009,So,0,0,0,0,0,0,0,0,0,0,0
9498,Taylor Stewart,Air Force,2009,So,0,0,0,0,0,0,0,0,0,0,0
9487,Evan Washington,Air Force,2009,Jr,1,1,0,0,0,0,0,0,0,0,1
11186,Mike Bardo,Akron,2009,Jr,2,0,2,0,0,2,0,0,0,0,0
11191,Tim Carroll,Akron,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
11184,Jimmy Conyers,Akron,2009,Sr,1,0,1,0,0,0,0,0,1,0,0
11187,Nikola Cvetinovic,Akron,2009,So,2,0,2,0,0,1,0,0,1,0,0
9441,Anthony Hitchens,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0
11192,Zeke Marshall,Akron,2009,Fr,12,4,8,0,2,3,0,0,1,0,0
11180,Brett McClanahan,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0
11179,Brett McKnight,Akron,2009,Jr,3,2,1,0,1,1,0,0,1,0,0
11182,Chris McKnight,Akron,2009,Sr,2,0,2,0,0,1,0,0,1,0,1
11190,Steve McNees,Akron,2009,Jr,2,0,2,0,0,1,0,0,3,0,1
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0
11183,Darryl Roberts,Akron,2009,Jr,1,0,1,0,0,0,0,0,0,0,1
11188,Ronnie Steward,Akron,2009,Fr,0,0,0,0,0,0,0,0,1,0,0
11178,Alex Sullivan,Akron,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
11189,Steve Swiech,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14648,Bo Amusa,Alabama A&M ,2009,Jr,1,1,0,0,1,0,0,0,0,0,0
14661,Pierre Andrews,Alabama A&M ,2009,So,0,0,0,0,0,0,0,0,0,0,0
14649,Casey Cantey,Alabama A&M ,2009,So,1,0,0,1,0,0,0,0,0,0,0
14653,Jabari Deshields,Alabama A&M ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14663,Royce Hamilton,Alabama A&M ,2009,So,1,0,1,0,0,0,0,0,0,0,0
