GMID,Name,School,Year,Grade,Position,BLK,B2PJ,BS2P,B3P,RecodBlock,PercBlocksReco,PickSix
21946,Jeremy Allen,Texas A&M-CC,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
21950,Mike Bables,Texas A&M-CC,2009,Fr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,24.09%
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,Guard,42.76%,66.22%,0.00%,0.00%,0.00%,NR,0.00%
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,67.36%
21940,Antonio Topps,Texas A&M-CC,2009,Jr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
21944,Jacob Warnell,Texas A&M-CC,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
9495,Saj El-Amin,Air Force,2009,Sr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
9500,Todd Fletcher,Air Force,2009,Fr,Guard,55.42%,66.22%,0.00%,0.00%,57.78%,NR,42.03%
9497,Shawn Hempsey,Air Force,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,24.09%
9485,Avery Merriex,Air Force,2009,Sr,Guard,42.76%,43.72%,38.72%,0.00%,57.78%,NR,24.09%
9487,Evan Washington,Air Force,2009,Jr,Guard,91.22%,94.38%,85.35%,0.00%,92.03%,52.17%,67.36%
9441,Anthony Hitchens,Akron,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,81.70%
11180,Brett McClanahan,Akron,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
11190,Steve McNees,Akron,2009,Jr,Guard,71.48%,43.72%,79.72%,0.00%,79.43%,NR,24.09%
11185,Kyle Petersen,Akron,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
11183,Darryl Roberts,Akron,2009,Jr,Guard,55.42%,43.72%,59.15%,0.00%,57.78%,NR,24.09%
11188,Ronnie Steward,Akron,2009,Fr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
11178,Alex Sullivan,Akron,2009,Fr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
14647,Antonio Adams,Alabama A&M ,2009,Fr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,Guard,55.42%,0.00%,71.43%,0.00%,36.20%,NR,0.00%
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,Guard,81.15%,0.00%,88.97%,65.17%,89.20%,NR,81.70%
14652,Evan Hilton,Alabama A&M ,2009,Sr,Guard,25.79%,43.72%,0.00%,0.00%,36.20%,NR,42.03%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,Guard,64.45%,66.22%,59.15%,0.00%,71.08%,NR,42.03%
14659,Marcus Lee,Alabama A&M ,2009,Fr,Guard,42.76%,0.00%,38.72%,65.17%,57.78%,NR,24.09%
14662,Reggie Porter,Alabama A&M ,2009,Jr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,42.03%
14657,Khiry White,Alabama A&M ,2009,RS-Fr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
14725,Stephawn Brown,Alabama State,2009,Fr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
14726,Tramaine Butler,Alabama State,2009,RS-Jr,Guard,89.51%,91.42%,85.35%,0.00%,85.50%,NR,92.37%
14719,Jevon Freeman,Alabama State,2009,Jr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
14718,Jeffery Middlebrooks,Alabama State,2009,So,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,24.09%
14724,Sekari Milligen,Alabama State,2009,So,Guard,42.76%,43.72%,38.72%,0.00%,36.20%,NR,0.00%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,Guard,0.00%,0.00%,0.00%,0.00%,0.00%,NR,0.00%
14721,Menji Mundadi,Alabama State,2009,Sr,Guard,64.45%,66.22%,59.15%,0.00%,57.78%,NR,67.36%
