GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,2,1,1,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,2,0,0,0,0,0,2,0,0,1,1,1,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,48,34,19,8,8,6,29,8,5,23,9,8,47,22
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,6,4,0,0,0,0,29,11,5,59,18,15,11,8
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,8,3,1,0,0,0,13,2,1,31,11,9,21,11
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,15,9,5,3,3,3,24,6,1,33,13,13,2,1
21952,Terence Jones,Texas A&M-CC,2009,Fr,21,7,0,0,0,0,29,7,2,72,25,17,30,18
21945,Jawan Nelson,Texas A&M-CC,2009,So,13,7,5,0,0,0,11,3,2,16,2,2,7,4
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,109,62,27,2,2,0,77,31,13,109,37,33,133,94
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,83,50,22,4,4,2,82,30,15,25,5,4,82,49
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,26,13,4,0,0,0,28,8,3,22,7,5,18,10
21940,Antonio Topps,Texas A&M-CC,2009,Jr,1,1,0,0,0,0,5,1,1,11,4,4,2,1
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,134,97,47,13,13,10,39,16,5,1,0,0,103,71
9502,Zach Bohannon,Air Force,2009,Fr,12,9,4,0,0,0,3,2,0,8,2,2,9,4
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,19,10,7,0,0,0,18,6,3,24,1,1,33,21
9486,Derek Brooks,Air Force,2009,Jr,15,11,7,0,0,0,19,8,2,24,10,8,9,8
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,0,1,0,0,1,0,0,1,0
9493,Mike Fitzgerald,Air Force,2009,Fr,0,0,0,0,0,0,8,3,2,50,20,20,8,5
9500,Todd Fletcher,Air Force,2009,Fr,19,16,6,0,0,0,20,8,4,52,14,14,10,9
9501,Tom Fow,Air Force,2009,Jr,28,21,10,3,3,2,40,17,5,102,38,38,35,26
9497,Shawn Hempsey,Air Force,2009,So,4,2,1,0,0,0,4,1,0,7,2,2,1,0
9492,Michael Lyons,Air Force,2009,Fr,30,18,7,2,2,1,60,26,7,77,18,18,21,16
9494,Mike McLain,Air Force,2009,Sr,50,30,16,1,1,0,11,3,1,43,11,11,42,21
9485,Avery Merriex,Air Force,2009,Sr,18,10,4,0,0,0,20,6,2,8,3,3,10,6
9488,Grant Parker,Air Force,2009,Sr,52,34,19,0,0,0,44,16,5,81,28,27,58,40
9496,Sammy Schafer,Air Force,2009,So,5,4,2,0,0,0,7,2,1,5,2,2,5,4
9498,Taylor Stewart,Air Force,2009,So,12,7,2,0,0,0,12,2,1,8,3,3,9,3
9487,Evan Washington,Air Force,2009,Jr,68,47,25,3,3,3,77,22,4,27,11,11,95,63
11186,Mike Bardo,Akron,2009,Jr,14,8,1,0,0,0,5,0,0,0,0,0,11,6
11191,Tim Carroll,Akron,2009,Sr,2,2,0,0,0,0,3,2,1,3,0,0,2,0
11184,Jimmy Conyers,Akron,2009,Sr,91,57,16,2,2,1,33,10,6,47,16,14,84,61
11187,Nikola Cvetinovic,Akron,2009,So,127,66,24,4,3,3,49,12,5,5,1,1,45,19
9441,Anthony Hitchens,Akron,2009,So,26,9,1,0,0,0,47,15,6,108,30,18,28,16
11192,Zeke Marshall,Akron,2009,Fr,73,40,31,17,13,12,59,20,14,0,0,0,58,27
11180,Brett McClanahan,Akron,2009,So,4,3,0,0,0,0,17,9,5,54,16,14,6,4
11179,Brett McKnight,Akron,2009,Jr,94,50,21,0,0,0,98,28,14,78,22,21,57,47
11182,Chris McKnight,Akron,2009,Sr,99,64,39,1,1,1,61,23,14,34,13,13,100,66
11190,Steve McNees,Akron,2009,Jr,23,8,1,0,0,0,20,6,0,137,47,33,26,21
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11183,Darryl Roberts,Akron,2009,Jr,17,11,4,0,0,0,65,27,9,69,27,24,38,28
11188,Ronnie Steward,Akron,2009,Fr,16,8,0,0,0,0,4,2,0,4,3,2,9,3
11178,Alex Sullivan,Akron,2009,Fr,0,0,0,0,0,0,1,1,1,0,0,0,2,1
