GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,11,6,2,1,1,13,3,1,4,0,0,12,3
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,1,1,0,0,0,4,1,0,13,2,2,0,0
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,3,1,1,0,0,1,0,0,4,1,1,6,3
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,3,2,0,0,0,5,0,0,9,5,5,0,0
21952,Terence Jones,Texas A&M-CC,2009,Fr,8,0,0,0,0,16,5,1,26,10,7,9,6
21945,Jawan Nelson,Texas A&M-CC,2009,So,4,3,3,0,0,1,0,0,3,1,1,2,1
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,26,13,8,0,0,20,6,1,34,15,12,42,31
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,18,14,7,1,1,21,8,5,6,0,0,18,9
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,10,6,2,0,0,15,4,1,11,2,2,2,2
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,43,29,14,6,6,12,4,2,0,0,0,23,15
9502,Zach Bohannon,Air Force,2009,Fr,8,7,4,0,0,3,2,0,4,1,1,7,2
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,7,4,2,0,0,4,0,0,11,1,1,9,5
9486,Derek Brooks,Air Force,2009,Jr,7,6,4,0,0,8,3,1,13,5,4,4,4
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,1,0,0,1,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,0,0,0,0,0,2,0,0,24,9,9,4,1
9500,Todd Fletcher,Air Force,2009,Fr,5,5,3,0,0,5,3,1,22,5,5,3,3
9501,Tom Fow,Air Force,2009,Jr,10,8,5,0,0,11,4,1,35,12,12,3,2
9497,Shawn Hempsey,Air Force,2009,So,0,0,0,0,0,0,0,0,2,0,0,1,0
9492,Michael Lyons,Air Force,2009,Fr,11,6,2,1,1,22,10,2,31,5,5,10,9
9494,Mike McLain,Air Force,2009,Sr,15,11,5,1,1,3,1,0,15,4,4,10,6
9485,Avery Merriex,Air Force,2009,Sr,8,4,0,0,0,11,2,1,2,1,1,4,3
9488,Grant Parker,Air Force,2009,Sr,12,4,1,0,0,21,9,2,31,13,13,13,10
9496,Sammy Schafer,Air Force,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
9498,Taylor Stewart,Air Force,2009,So,0,0,0,0,0,4,1,0,0,0,0,3,1
9487,Evan Washington,Air Force,2009,Jr,16,10,5,2,2,34,12,0,11,6,6,26,18
11186,Mike Bardo,Akron,2009,Jr,4,2,0,0,0,0,0,0,0,0,0,0,0
11191,Tim Carroll,Akron,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
11184,Jimmy Conyers,Akron,2009,Sr,33,19,2,1,1,10,5,2,13,3,3,26,21
11187,Nikola Cvetinovic,Akron,2009,So,31,15,3,2,1,14,1,0,1,0,0,8,4
9441,Anthony Hitchens,Akron,2009,So,9,2,0,0,0,10,3,1,24,4,3,6,4
11192,Zeke Marshall,Akron,2009,Fr,11,4,4,4,2,17,6,4,0,0,0,7,2
11180,Brett McClanahan,Akron,2009,So,0,0,0,0,0,5,3,1,6,0,0,0,0
11179,Brett McKnight,Akron,2009,Jr,18,5,3,0,0,24,8,3,19,6,5,7,6
11182,Chris McKnight,Akron,2009,Sr,25,18,8,0,0,14,6,5,10,3,3,34,21
11190,Steve McNees,Akron,2009,Jr,10,2,0,0,0,7,2,0,40,9,8,6,3
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
11183,Darryl Roberts,Akron,2009,Jr,3,2,1,0,0,19,10,4,14,6,4,10,8
11188,Ronnie Steward,Akron,2009,Fr,4,4,0,0,0,3,1,0,0,0,0,3,2
11178,Alex Sullivan,Akron,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
11189,Steve Swiech,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14648,Bo Amusa,Alabama A&M ,2009,Jr,3,2,1,1,1,6,2,0,3,1,1,9,5
14661,Pierre Andrews,Alabama A&M ,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14649,Casey Cantey,Alabama A&M ,2009,So,2,0,0,0,0,4,2,0,0,0,0,4,0
14653,Jabari Deshields,Alabama A&M ,2009,Jr,1,0,0,0,0,1,0,0,1,0,0,1,1
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
14663,Royce Hamilton,Alabama A&M ,2009,So,2,1,0,0,0,0,0,0,0,0,0,0,0
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,0,0,0,0,0,5,3,1,3,0,0,0,0
14652,Evan Hilton,Alabama A&M ,2009,Sr,5,3,0,0,0,8,0,0,3,0,0,3,0
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,2,2,2,0,0,5,0,0,0,0,0,0,0
14651,Desmond Jackson,Alabama A&M ,2009,Jr,1,0,0,0,0,1,0,0,1,0,0,1,0
14660,Maurice Kemp,Alabama A&M ,2009,Fr,3,2,0,1,1,1,0,0,1,0,0,0,0
14659,Marcus Lee,Alabama A&M ,2009,Fr,2,0,0,0,0,2,0,0,0,0,0,0,0
14662,Reggie Porter,Alabama A&M ,2009,Jr,0,0,0,0,0,1,0,0,0,0,0,0,0
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,1,0,0,0,0,6,1,0,2,0,0,0,0
14725,Stephawn Brown,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14726,Tramaine Butler,Alabama State,2009,RS-Jr,3,1,0,0,0,1,0,0,1,0,0,6,3
14714,Chris Duncan,Alabama State,2009,Jr,2,1,1,0,0,2,1,1,3,0,0,0,0
14719,Jevon Freeman,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,1,1,1,0,0,0,0,0,2,2,1,2,0
14724,Sekari Milligen,Alabama State,2009,So,0,0,0,0,0,2,0,0,0,0,0,0,0
14727,Tramyne Moorer,Alabama State,2009,Jr,1,0,0,0,0,1,0,0,0,0,0,0,0
14717,Jadarren Mumpfield,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
14721,Menji Mundadi,Alabama State,2009,Sr,4,2,1,0,0,3,0,0,5,1,1,4,3
14722,Robert Sanders,Alabama State,2009,Jr,3,1,0,0,0,3,0,0,4,0,0,3,2
14712,A.J. Spencer,Alabama State,2009,Jr,0,0,0,0,0,1,0,0,1,0,0,0,0
14407,Byron Walker,Alabama State,2009,Sr,2,0,0,0,0,4,2,2,0,0,0,0,0
14723,Ryan Watts,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14716,Ivory White,Alabama State,2009,So,0,0,0,0,0,2,2,2,3,1,1,0,0
5496,Anthony Brock,Alabama,2009,Sr,11,3,0,0,0,7,1,0,46,17,16,11,7
5502,Greg Cage,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,2,0,0,0,0,11,4,3,55,21,20,2,0
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,0,0,0,0,0,2,0,0,1,0,0,0,0
2187,JaMychal Green,Alabama,2009,So,67,35,19,14,10,92,39,12,2,0,0,78,54
2356,Senario Hillman,Alabama,2009,Jr,30,10,5,1,1,51,13,2,30,9,9,15,11
5499,Chris Hines,Alabama,2009,Jr,17,10,5,2,2,28,6,2,2,1,1,12,4
5503,Justin Knox,Alabama,2009,Jr,25,13,7,4,4,57,19,7,1,1,1,38,29
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,42,29,13,14,11,42,9,1,24,3,3,19,14
5495,Andrew Steele,Alabama,2009,RS-So,2,2,1,0,0,2,0,0,4,2,2,6,2
5505,Mikhail Torrance,Alabama,2009,Sr,43,21,4,0,0,59,26,4,56,21,10,40,34
17582,Billy Allen,Albany,2009,So,0,0,0,0,0,0,0,0,6,4,4,0,0
17596,Tim Ambrose,Albany,2009,Jr,7,3,0,0,0,14,4,4,9,1,1,0,0
17590,Logan Aronhalt,Albany,2009,Fr,0,0,0,0,0,5,1,0,8,1,1,0,0
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
17593,Mike Black,Albany,2009,Fr,0,0,0,0,0,4,2,0,4,0,0,2,2
17584,Brett Gifford,Albany,2009,Sr,0,0,0,0,0,4,1,1,0,0,0,2,1
4414,Will Harris,Albany,2009,Sr,2,0,0,0,0,10,6,1,15,7,7,7,3
17592,Mike Johnson,Albany,2009,Sr,1,0,0,0,0,3,1,0,1,0,0,0,0
17588,Jake Lindfors,Albany,2009,RS-Fr,1,0,0,0,0,3,1,1,8,1,1,2,2
17595,Scotty McRae,Albany,2009,Sr,1,0,0,0,0,7,2,2,3,0,0,0,0
17583,Blake Metcalf,Albany,2009,Fr,1,0,0,0,0,1,1,1,0,0,0,3,1
17585,Derrek Tartt,Albany,2009,Fr,2,1,1,0,0,0,0,0,4,1,1,0,0
17586,Fran Urli,Albany,2009,Jr,2,1,1,0,0,2,1,1,1,0,0,6,3
14783,Corey Anthony,Alcorn State,2009,So,0,0,0,0,0,2,1,1,2,0,0,2,1
14785,Derrick Blackwell,Alcorn State,2009,Jr,3,0,0,0,0,0,0,0,0,0,0,0,0
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,3,1,1,0,0,5,2,0,15,6,4,2,1
14795,Tony Eackles,Alcorn State,2009,Fr,2,1,0,0,0,9,3,1,4,1,1,2,1
14787,Ian Francis,Alcorn State,2009,Fr,12,6,3,1,0,8,0,0,0,0,0,10,6
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,18,5,1,0,0,28,10,6,0,0,0,15,5
14794,Shauvanta Ingram,Alcorn State,2009,Fr,0,0,0,0,0,5,2,1,3,0,0,3,2
14793,Michael Martin,Alcorn State,2009,Fr,2,0,0,0,0,0,0,0,0,0,0,0,0
14788,Jamar Ragland,Alcorn State,2009,Fr,3,1,0,0,0,12,3,1,5,1,0,0,0
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,3,1,0,0,0,3,0,0,1,0,0,0,0
14781,Alex Savannah,Alcorn State,2009,So,3,1,0,0,0,1,0,0,0,0,0,5,1
14790,Keith Searcy,Alcorn State,2009,Fr,1,1,1,0,0,10,2,2,0,0,0,6,5
14792,Michael Starks,Alcorn State,2009,Fr,7,3,0,1,0,3,0,0,0,0,0,0,0
16942,Mike Bersch,American University,2009,Fr,0,0,0,0,0,0,0,0,2,0,0,0,0
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,1,1,1,0,0,2,1,1,0,0,0,3,1
16944,Riley Grafft,American University,2009,So,1,1,0,0,0,3,1,1,4,2,2,4,3
16943,Nick Hendra,American University,2009,Jr,2,1,1,0,0,4,2,2,12,3,3,6,5
16938,Joe Hill (2),American University,2009,So,0,0,0,0,0,0,0,0,4,2,2,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,2,0,0,0,0,4,0,0,5,2,2,0,0
16946,Stephen Lumpkins,American University,2009,So,11,2,1,1,1,10,0,0,0,0,0,5,3
16947,Steve Luptak,American University,2009,Jr,0,0,0,0,0,1,0,0,0,0,0,0,0
16945,Simon McCormack,American University,2009,So,1,1,0,0,0,1,1,1,0,0,0,0,0
16948,Vlad Moldoveanu,American University,2009,So,0,0,0,0,0,3,1,0,6,4,4,0,0
16936,Daniel Munoz (2),American University,2009,Fr,1,1,0,0,0,3,1,0,5,1,1,2,1
16941,Matthew Wilson,American University,2009,Jr,1,0,0,0,0,3,0,0,0,0,0,0,0
20990,Ryann Abraham,Appalachian State,2009,Sr,2,1,0,0,0,4,3,0,11,5,4,2,2
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,2,1
20983,Jeremi Booth,Appalachian State,2009,Jr,2,1,0,0,0,5,2,0,17,7,6,4,2
20986,Kellen Brand,Appalachian State,2009,Sr,3,2,0,0,0,16,4,3,11,3,2,6,3
20980,Isaac Butts,Appalachian State,2009,Jr,13,11,1,0,0,15,1,0,0,0,0,7,3
20988,Nathan Healy,Appalachian State,2009,Fr,0,0,0,0,0,1,0,0,0,0,0,0,0
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
