GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,46,32,18,7,7,29,8,5,22,8,7,45,21
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,4,3,0,0,0,27,10,4,55,16,13,7,5
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,7,3,1,0,0,13,2,1,30,10,8,18,10
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,14,9,5,3,3,20,4,1,26,9,9,2,1
21952,Terence Jones,Texas A&M-CC,2009,Fr,18,6,0,0,0,28,7,2,66,23,16,24,14
21945,Jawan Nelson,Texas A&M-CC,2009,So,13,7,5,0,0,11,3,2,13,2,2,7,4
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,97,55,23,2,2,71,28,12,104,36,32,123,84
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,79,48,21,4,4,75,27,13,25,5,4,78,48
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,17,9,4,0,0,27,7,2,21,7,5,10,6
21940,Antonio Topps,Texas A&M-CC,2009,Jr,1,1,0,0,0,4,1,1,8,3,3,2,1
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,119,85,43,13,13,34,13,5,1,0,0,91,62
9502,Zach Bohannon,Air Force,2009,Fr,8,7,3,0,0,1,1,0,7,1,1,5,1
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,17,8,7,0,0,17,6,3,24,1,1,32,21
9486,Derek Brooks,Air Force,2009,Jr,15,11,7,0,0,15,7,2,21,10,8,9,8
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,0,0,0,0,0,5,1,1,24,9,9,4,4
9500,Todd Fletcher,Air Force,2009,Fr,18,15,5,0,0,18,8,4,46,14,14,9,8
9501,Tom Fow,Air Force,2009,Jr,25,18,9,3,3,33,14,4,94,37,37,27,20
9497,Shawn Hempsey,Air Force,2009,So,3,2,1,0,0,4,1,0,3,0,0,1,0
9492,Michael Lyons,Air Force,2009,Fr,28,16,5,1,1,57,25,7,67,15,15,16,12
9494,Mike McLain,Air Force,2009,Sr,46,27,13,1,1,10,3,1,40,10,10,39,19
9485,Avery Merriex,Air Force,2009,Sr,15,9,4,0,0,17,6,2,7,2,2,4,2
9488,Grant Parker,Air Force,2009,Sr,48,31,18,0,0,42,14,5,79,27,26,53,36
9496,Sammy Schafer,Air Force,2009,So,5,4,2,0,0,7,2,1,3,1,1,5,4
9498,Taylor Stewart,Air Force,2009,So,11,6,2,0,0,11,2,1,7,3,3,9,3
9487,Evan Washington,Air Force,2009,Jr,64,45,24,3,3,73,21,4,23,9,9,85,58
11186,Mike Bardo,Akron,2009,Jr,11,6,1,0,0,4,0,0,0,0,0,9,5
11191,Tim Carroll,Akron,2009,Sr,2,2,0,0,0,0,0,0,0,0,0,0,0
11184,Jimmy Conyers,Akron,2009,Sr,86,52,12,2,2,30,9,5,45,16,14,79,57
11187,Nikola Cvetinovic,Akron,2009,So,119,60,21,2,1,47,11,5,4,1,1,40,16
9441,Anthony Hitchens,Akron,2009,So,24,7,1,0,0,43,14,5,102,28,18,27,15
11192,Zeke Marshall,Akron,2009,Fr,68,36,27,14,11,55,20,14,0,0,0,53,24
11180,Brett McClanahan,Akron,2009,So,3,2,0,0,0,15,9,5,51,14,12,4,2
11179,Brett McKnight,Akron,2009,Jr,84,44,18,0,0,95,28,14,69,20,19,52,43
11182,Chris McKnight,Akron,2009,Sr,87,52,33,1,1,56,22,13,31,11,11,94,63
11190,Steve McNees,Akron,2009,Jr,20,7,1,0,0,16,5,0,128,44,30,19,15
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
11183,Darryl Roberts,Akron,2009,Jr,14,9,2,0,0,63,26,9,66,26,23,34,25
11188,Ronnie Steward,Akron,2009,Fr,11,5,0,0,0,3,1,0,2,2,2,4,2
11178,Alex Sullivan,Akron,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
11189,Steve Swiech,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,0,0,0,0,0,0,0,1,0,0,0,0
14648,Bo Amusa,Alabama A&M ,2009,Jr,68,39,13,11,11,65,22,13,11,5,5,56,40
14661,Pierre Andrews,Alabama A&M ,2009,So,0,0,0,0,0,0,0,0,0,0,0,1,0
14649,Casey Cantey,Alabama A&M ,2009,So,81,30,13,9,5,45,12,3,17,4,3,100,63
14653,Jabari Deshields,Alabama A&M ,2009,Jr,10,4,0,0,0,23,6,1,17,6,6,13,7
14646,Alfred Frayer,Alabama A&M ,2009,Jr,2,1,0,0,0,2,1,1,0,0,0,6,3
14663,Royce Hamilton,Alabama A&M ,2009,So,1,0,0,0,0,2,1,0,3,0,0,0,0
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,18,9,4,1,1,77,33,15,80,27,22,16,13
14652,Evan Hilton,Alabama A&M ,2009,Sr,51,23,6,0,0,27,3,0,28,7,5,66,39
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,71,32,16,1,1,16,5,3,0,0,0,52,36
14651,Desmond Jackson,Alabama A&M ,2009,Jr,4,0,0,0,0,7,3,2,22,4,4,0,0
14660,Maurice Kemp,Alabama A&M ,2009,Fr,37,18,5,0,0,11,4,4,15,6,6,20,14
14659,Marcus Lee,Alabama A&M ,2009,Fr,8,1,0,0,0,9,2,0,11,6,6,13,9
14662,Reggie Porter,Alabama A&M ,2009,Jr,3,1,0,0,0,1,0,0,14,3,3,5,4
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,43,26,8,1,1,40,10,2,5,0,0,25,13
14725,Stephawn Brown,Alabama State,2009,Fr,0,0,0,0,0,1,1,1,1,0,0,2,1
14726,Tramaine Butler,Alabama State,2009,RS-Jr,73,32,9,5,5,47,14,7,74,20,17,97,54
14714,Chris Duncan,Alabama State,2009,Jr,32,19,9,3,2,45,15,9,31,5,4,30,20
14719,Jevon Freeman,Alabama State,2009,Jr,2,0,0,0,0,0,0,0,0,0,0,4,1
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,5,0,0,0,0,13,2,0,19,5,3,12,3
14724,Sekari Milligen,Alabama State,2009,So,8,3,1,0,0,15,6,3,59,18,17,8,4
14727,Tramyne Moorer,Alabama State,2009,Jr,88,47,26,4,2,77,31,17,20,3,2,130,92
14717,Jadarren Mumpfield,Alabama State,2009,Jr,1,1,0,0,0,1,1,0,3,1,1,0,0
14721,Menji Mundadi,Alabama State,2009,Sr,42,22,10,2,1,29,14,7,163,66,61,54,39
14722,Robert Sanders,Alabama State,2009,Jr,30,16,6,0,0,30,6,2,9,3,3,33,18
14712,A.J. Spencer,Alabama State,2009,Jr,10,5,1,0,0,19,3,1,10,2,0,18,14
14407,Byron Walker,Alabama State,2009,Sr,51,29,17,2,2,90,26,18,2,1,1,43,30
14723,Ryan Watts,Alabama State,2009,Fr,2,1,0,0,0,5,0,0,1,0,0,4,3
14716,Ivory White,Alabama State,2009,So,6,2,0,0,0,11,4,3,24,9,9,6,3
5496,Anthony Brock,Alabama,2009,Sr,15,5,0,0,0,11,2,0,78,29,27,13,8
5502,Greg Cage,Alabama,2009,Sr,1,0,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,3,1,0,0,0,17,4,3,93,39,38,4,1
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,3,1,0,0,0,5,1,0,3,0,0,2,0
2187,JaMychal Green,Alabama,2009,So,103,56,31,18,14,140,59,20,2,0,0,111,76
2356,Senario Hillman,Alabama,2009,Jr,38,13,6,2,2,85,21,4,53,17,16,19,15
5499,Chris Hines,Alabama,2009,Jr,32,20,8,5,5,37,10,3,2,1,1,27,12
5503,Justin Knox,Alabama,2009,Jr,36,19,11,5,5,89,33,15,1,1,1,68,49
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,60,40,21,15,11,59,19,6,36,7,6,32,21
5495,Andrew Steele,Alabama,2009,RS-So,2,2,1,0,0,4,1,0,4,2,2,7,3
5505,Mikhail Torrance,Alabama,2009,Sr,58,29,5,0,0,85,43,13,84,25,12,64,54
17582,Billy Allen,Albany,2009,So,9,5,4,0,0,5,2,2,44,13,12,6,6
17596,Tim Ambrose,Albany,2009,Jr,52,34,10,0,0,144,47,12,61,20,17,70,56
17590,Logan Aronhalt,Albany,2009,Fr,9,4,3,0,0,35,15,1,68,25,20,22,19
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,1,0,0,0,0
17593,Mike Black,Albany,2009,Fr,25,11,4,0,0,32,7,1,60,27,24,27,23
17584,Brett Gifford,Albany,2009,Sr,18,13,9,0,0,36,12,11,1,0,0,4,1
4414,Will Harris,Albany,2009,Sr,51,26,12,2,2,83,31,12,83,30,22,36,28
17592,Mike Johnson,Albany,2009,Sr,12,9,1,0,0,34,12,4,22,5,4,11,6
17588,Jake Lindfors,Albany,2009,RS-Fr,13,6,3,0,0,16,7,5,27,6,6,9,7
17595,Scotty McRae,Albany,2009,Sr,28,13,4,2,2,85,25,10,19,5,5,58,41
17583,Blake Metcalf,Albany,2009,Fr,26,12,6,0,0,20,12,6,0,0,0,18,8
17585,Derrek Tartt,Albany,2009,Fr,4,3,1,0,0,9,2,0,13,4,3,3,2
17586,Fran Urli,Albany,2009,Jr,46,23,11,0,0,38,12,5,3,1,1,56,44
14783,Corey Anthony,Alcorn State,2009,So,10,6,1,0,0,8,1,1,13,1,1,4,1
14785,Derrick Blackwell,Alcorn State,2009,Jr,9,1,0,0,0,10,3,2,15,3,3,4,4
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,2,0,0,0,0,3,2,2,0,0,0,2,2
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,21,7,1,0,0,45,9,2,114,45,26,36,29
14795,Tony Eackles,Alcorn State,2009,Fr,16,7,2,0,0,23,11,1,13,4,4,31,20
14787,Ian Francis,Alcorn State,2009,Fr,94,51,20,10,8,47,9,5,0,0,0,62,37
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,57,29,11,1,1,72,17,12,0,0,0,44,25
14794,Shauvanta Ingram,Alcorn State,2009,Fr,16,5,2,0,0,36,15,3,25,6,5,25,16
14793,Michael Martin,Alcorn State,2009,Fr,7,3,0,0,0,3,1,0,0,0,0,1,0
14788,Jamar Ragland,Alcorn State,2009,Fr,7,4,0,0,0,20,4,2,8,3,3,1,0
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,20,11,0,0,0,16,4,1,20,5,4,25,17
14781,Alex Savannah,Alcorn State,2009,So,11,2,1,0,0,19,8,1,12,3,3,13,4
14790,Keith Searcy,Alcorn State,2009,Fr,19,9,3,0,0,78,29,8,10,1,1,38,30
14792,Michael Starks,Alcorn State,2009,Fr,26,14,7,4,2,5,1,0,0,0,0,20,9
16942,Mike Bersch,American University,2009,Fr,4,2,1,0,0,3,1,0,32,11,10,2,2
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,1,1,0,0,0,5,2,2,0,0,0,2,1
16944,Riley Grafft,American University,2009,So,34,26,13,5,4,76,28,23,17,4,4,25,17
16943,Nick Hendra,American University,2009,Jr,39,22,10,0,0,44,8,7,129,50,46,45,29
16938,Joe Hill (2),American University,2009,So,2,0,0,0,0,3,0,0,50,18,17,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,5,1,0,0,0,27,10,2,15,6,6,4,3
16946,Stephen Lumpkins,American University,2009,So,180,110,62,13,13,79,20,13,0,0,0,130,73
16947,Steve Luptak,American University,2009,Jr,6,2,1,0,0,16,4,1,43,10,10,3,3
16945,Simon McCormack,American University,2009,So,62,41,26,0,0,44,12,5,0,0,0,29,25
16948,Vlad Moldoveanu,American University,2009,So,61,44,25,0,0,77,27,15,100,38,36,79,64
16936,Daniel Munoz (2),American University,2009,Fr,17,7,1,0,0,62,20,5,39,10,9,14,10
16941,Matthew Wilson,American University,2009,Jr,12,7,2,0,0,8,2,2,0,0,0,17,11
20990,Ryann Abraham,Appalachian State,2009,Sr,16,5,0,0,0,24,9,4,48,15,9,14,12
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,1,0,0,0,0
20983,Jeremi Booth,Appalachian State,2009,Jr,17,10,3,4,3,53,19,8,85,37,35,16,13
20986,Kellen Brand,Appalachian State,2009,Sr,40,23,2,0,0,94,36,10,72,27,24,50,36
20980,Isaac Butts,Appalachian State,2009,Jr,143,100,35,0,0,71,27,9,0,0,0,41,22
20988,Nathan Healy,Appalachian State,2009,Fr,12,6,2,0,0,14,6,1,6,2,2,11,9
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,8,4,3,0,0
