GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
1945,Tweety Carter,Baylor,2009,42,18,18,11,62,21
1946,Sherron Collins,Kansas,2009,31,11,13,7,39,10
1947,Jon Scheyer,Duke,2009,37,11,19,13,53,25
1948,Lance Thomas,Duke,2009,15,2,20,12,0,0
1949,Vernon Macklin,Florida,2009,35,13,24,18,0,0
1949,Vernon Macklin,Florida,2010,51,18,39,29,0,0
1950,Scottie Reynolds,Villanova,2009,26,11,12,10,26,11
1951,James Keefe,UCLA,2009,6,2,4,3,1,0
1953,Tasmin Mitchell,LSU,2009,97,36,16,8,31,9
1954,Eric Boateng,Arizona State,2009,30,15,37,27,0,0
2048,Kyle Bailey,Connecticut,2009,0,0,0,0,0,0
2048,Kyle Bailey,Connecticut,2010,0,0,0,0,0,0
2048,Kyle Bailey,Connecticut,2011,0,0,0,0,0,0
2151,Kyle Singler,Duke,2009,53,16,13,9,36,14
2151,Kyle Singler,Duke,2010,40,20,15,9,30,9
2152,Patrick Patterson,Kentucky,2009,27,13,19,14,13,5
2153,Jai Lucas,Texas,2009,5,1,0,0,2,1
2153,Jai Lucas,Texas,2010,15,5,1,1,11,4
2154,Nolan Smith,Duke,2009,69,29,24,14,27,11
2154,Nolan Smith,Duke,2010,58,17,23,15,32,8
2155,Austin Freeman,Georgetown,2009,36,10,36,22,38,18
2155,Austin Freeman,Georgetown,2010,35,9,28,16,43,16
2156,Corey Stokes,Villanova,2009,9,6,8,5,19,6
2156,Corey Stokes,Villanova,2010,24,8,5,3,39,13
2157,Chris Wright,Georgetown,2009,11,3,22,12,37,11
2157,Chris Wright,Georgetown,2010,19,3,23,12,41,13
2158,James Anderson,Oklahoma State,2009,31,10,36,17,49,19
2159,Cole Aldrich,Kansas,2009,37,8,17,11,0,0
2160,Taylor King,Villanova,2009,6,3,13,6,27,6
2161,Gani Lawal,Georgia Tech,2009,43,14,29,23,1,0
2172,Larry Drew,North Carolina,2009,21,7,4,2,19,6
2172,Larry Drew,North Carolina,2010,6,1,1,1,7,0
2172,Larry Drew,UCLA,2012,35,11,24,11,13,6
2173,Samardo Samuels,Louisville,2009,40,17,38,26,0,0
2174,Ed Davis,North Carolina,2009,20,9,6,5,0,0
2175,Tyler Zeller,North Carolina,2009,19,6,2,1,0,0
2175,Tyler Zeller,North Carolina,2010,32,11,10,7,0,0
2175,Tyler Zeller,North Carolina,2011,20,11,12,7,0,0
2176,Sylven Landesberg,Virginia,2009,62,20,34,14,20,7
2177,Mike Dunigan,Oregon,2009,13,4,7,5,0,0
2178,Greg Monroe,Georgetown,2009,38,8,48,25,9,4
2179,Willie Warren,Oklahoma,2009,16,9,14,9,24,9
2180,Al-Farouq Aminu,Wake Forest,2009,30,5,19,10,13,5
2181,Kemba Walker,Connecticut,2009,31,11,14,6,43,16
2181,Kemba Walker,Connecticut,2010,102,35,31,22,75,26
2182,Malcolm Lee,UCLA,2009,49,13,18,15,38,9
2182,Malcolm Lee,UCLA,2010,34,9,30,17,56,18
2183,Iman Shumpert,Georgia Tech,2009,20,6,7,5,23,5
2183,Iman Shumpert,Georgia Tech,2010,49,17,11,7,26,5
2184,Scotty Hopson,Tennessee,2009,35,13,15,10,45,13
2184,Scotty Hopson,Tennessee,2010,41,13,19,10,43,17
2185,Luke Babbitt,Nevada,2009,76,40,17,7,22,8
2186,William Buford,Ohio State,2009,48,18,11,7,32,17
2186,William Buford,Ohio State,2010,55,21,6,3,32,11
2186,William Buford,Ohio State,2011,61,22,14,7,46,20
2187,JaMychal Green,Alabama,2009,59,25,35,21,3,0
2187,JaMychal Green,Alabama,2010,75,24,34,20,1,1
2187,JaMychal Green,Alabama,2011,53,21,15,9,5,1
2188,Chris Singleton,Florida State,2009,18,6,12,7,26,7
2188,Chris Singleton,Florida State,2010,20,7,7,3,14,3
2189,Elliot Williams,Memphis,2009,16,5,24,12,52,15
2190,Mike Rosario,Rutgers,2009,29,11,19,6,50,15
