GMID,Name,School,Year,PercShotS2P,S2PPer,PercShotl2P,L2PPer,PercL2PLC,PercShot3P,ThreePer,Perc3PLC
1945,Tweety Carter,Baylor,2009,14.75%,61.11%,34.43%,42.86%,39.25%,50.82%,33.87%,30.24%
1946,Sherron Collins,Kansas,2009,15.66%,53.85%,37.35%,35.48%,26.96%,46.99%,25.64%,23.64%
1947,Jon Scheyer,Duke,2009,17.43%,68.42%,33.94%,29.73%,28.24%,48.62%,47.17%,21.99%
1948,Lance Thomas,Duke,2009,57.14%,60.00%,42.86%,13.33%,22.06%,0.00%,NA,NA
1949,Vernon Macklin,Florida,2009,40.68%,75.00%,59.32%,37.14%,37.63%,0.00%,NA,NA
1949,Vernon Macklin,Florida,2010,43.33%,74.36%,56.67%,35.29%,36.43%,0.00%,NA,NA
1950,Scottie Reynolds,Villanova,2009,18.75%,83.33%,40.63%,42.31%,24.30%,40.63%,42.31%,15.38%
1951,James Keefe,UCLA,2009,36.36%,75.00%,54.55%,33.33%,37.50%,9.09%,0.00%,20.00%
1953,Tasmin Mitchell,LSU,2009,11.11%,50.00%,67.36%,37.11%,36.74%,21.53%,29.03%,32.98%
1954,Eric Boateng,Arizona State,2009,55.22%,72.97%,44.78%,50.00%,50.00%,0.00%,NA,NA
2048,Kyle Bailey,Connecticut,2009,NA,NA,NA,NA,NA,NA,NA,NA
2048,Kyle Bailey,Connecticut,2010,NA,NA,NA,NA,NA,NA,NA,NA
2048,Kyle Bailey,Connecticut,2011,NA,NA,NA,NA,NA,NA,NA,NA
2151,Kyle Singler,Duke,2009,12.75%,69.23%,51.96%,30.19%,28.04%,35.29%,38.89%,19.78%
2151,Kyle Singler,Duke,2010,17.65%,60.00%,47.06%,50.00%,20.62%,35.29%,30.00%,16.22%
2152,Patrick Patterson,Kentucky,2009,32.20%,73.68%,45.76%,48.15%,22.88%,22.03%,38.46%,22.03%
2153,Jai Lucas,Texas,2009,0.00%,NA,71.43%,20.00%,27.78%,28.57%,50.00%,7.69%
2153,Jai Lucas,Texas,2010,3.70%,100.00%,55.56%,33.33%,37.50%,40.74%,36.36%,28.95%
2154,Nolan Smith,Duke,2009,20.00%,58.33%,57.50%,42.03%,36.70%,22.50%,40.74%,21.26%
2154,Nolan Smith,Duke,2010,20.35%,65.22%,51.33%,29.31%,26.73%,28.32%,25.00%,20.38%
2155,Austin Freeman,Georgetown,2009,32.73%,61.11%,32.73%,27.78%,40.00%,34.55%,47.37%,30.89%
2155,Austin Freeman,Georgetown,2010,26.42%,57.14%,33.02%,25.71%,35.71%,40.57%,37.21%,30.50%
2156,Corey Stokes,Villanova,2009,22.22%,62.50%,25.00%,66.67%,17.65%,52.78%,31.58%,12.84%
2156,Corey Stokes,Villanova,2010,7.35%,60.00%,35.29%,33.33%,43.64%,57.35%,33.33%,23.93%
2157,Chris Wright,Georgetown,2009,31.43%,54.55%,15.71%,27.27%,15.94%,52.86%,29.73%,31.09%
