GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,1,1,1,1,1,1,2,1,1,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,3,1,0,0,0,0,2,0,0,1,1,1,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,67,47,27,15,15,13,32,8,5,25,9,8,63,28
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,13,10,2,0,0,0,32,13,7,79,25,20,26,18
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,26,15,4,0,0,0,16,4,2,43,14,11,32,20
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,23,14,9,4,3,3,30,8,2,38,15,15,14,8
21952,Terence Jones,Texas A&M-CC,2009,Fr,46,17,2,0,0,0,40,10,2,93,29,21,66,45
21945,Jawan Nelson,Texas A&M-CC,2009,So,14,8,5,0,0,0,12,3,2,20,3,3,9,6
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,185,114,45,13,13,4,94,38,16,159,51,44,229,174
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,114,75,39,12,12,5,93,35,17,34,5,4,113,70
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,31,17,7,0,0,0,30,10,5,27,8,6,26,14
21940,Antonio Topps,Texas A&M-CC,2009,Jr,1,1,0,0,0,0,7,1,1,13,4,4,2,1
21944,Jacob Warnell,Texas A&M-CC,2009,So,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,189,136,75,26,25,19,45,18,6,1,0,0,143,96
9502,Zach Bohannon,Air Force,2009,Fr,14,11,5,0,0,0,3,2,0,8,2,2,14,6
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,27,15,11,0,0,0,19,7,4,25,1,1,44,26
9486,Derek Brooks,Air Force,2009,Jr,20,15,10,0,0,0,19,8,2,24,10,8,19,15
9495,Saj El-Amin,Air Force,2009,Sr,1,0,0,0,0,0,2,1,1,1,0,0,3,1
9493,Mike Fitzgerald,Air Force,2009,Fr,1,1,1,0,0,0,10,3,2,54,22,22,10,6
9500,Todd Fletcher,Air Force,2009,Fr,28,23,6,0,0,0,22,10,5,56,15,15,26,20
9501,Tom Fow,Air Force,2009,Jr,31,23,12,4,4,3,50,19,5,118,45,45,45,36
9497,Shawn Hempsey,Air Force,2009,So,5,3,1,0,0,0,7,3,0,8,2,2,9,4
9492,Michael Lyons,Air Force,2009,Fr,55,33,16,5,4,2,72,30,7,88,20,20,35,28
9494,Mike McLain,Air Force,2009,Sr,66,43,26,3,3,1,12,3,1,45,11,11,62,28
9485,Avery Merriex,Air Force,2009,Sr,21,11,4,0,0,0,23,8,3,8,3,3,16,10
9488,Grant Parker,Air Force,2009,Sr,68,48,32,3,3,3,49,19,7,83,28,27,71,49
9496,Sammy Schafer,Air Force,2009,So,5,4,2,0,0,0,7,2,1,5,2,2,5,4
9498,Taylor Stewart,Air Force,2009,So,24,14,7,0,0,0,15,3,2,9,3,3,22,6
