GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,14,8,3,2,2,2,15,3,1,4,0,0,14,4
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,2,2,0,0,0,0,5,1,0,14,2,2,0,0
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,6,2,1,0,0,0,2,1,1,7,2,2,13,9
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,5,4,2,0,0,0,9,0,0,10,5,5,2,0
21952,Terence Jones,Texas A&M-CC,2009,Fr,17,1,0,0,0,0,23,6,1,34,12,9,15,12
21945,Jawan Nelson,Texas A&M-CC,2009,So,4,3,3,0,0,0,1,0,0,4,2,2,4,3
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,45,25,13,1,1,1,25,6,1,47,20,16,59,42
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,22,17,9,2,2,1,24,8,5,8,0,0,18,9
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,10,6,2,0,0,0,16,5,2,13,3,3,5,4
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,54,38,20,8,8,7,15,6,3,0,0,0,32,20
9502,Zach Bohannon,Air Force,2009,Fr,8,7,4,0,0,0,3,2,0,4,1,1,7,2
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,10,6,4,0,0,0,5,1,1,11,1,1,9,5
9486,Derek Brooks,Air Force,2009,Jr,9,7,5,0,0,0,8,3,1,13,5,4,6,6
9495,Saj El-Amin,Air Force,2009,Sr,1,0,0,0,0,0,1,0,0,1,0,0,2,1
9493,Mike Fitzgerald,Air Force,2009,Fr,1,1,1,0,0,0,2,0,0,25,10,10,4,1
9500,Todd Fletcher,Air Force,2009,Fr,10,9,3,0,0,0,5,3,1,24,5,5,3,3
9501,Tom Fow,Air Force,2009,Jr,12,9,6,1,1,1,13,5,1,39,14,14,7,6
9497,Shawn Hempsey,Air Force,2009,So,0,0,0,0,0,0,1,1,0,2,0,0,1,0
9492,Michael Lyons,Air Force,2009,Fr,19,12,5,1,1,0,27,10,2,36,6,6,10,9
9494,Mike McLain,Air Force,2009,Sr,17,13,7,1,1,0,4,1,0,15,4,4,13,6
9485,Avery Merriex,Air Force,2009,Sr,8,4,0,0,0,0,11,2,1,2,1,1,6,5
9488,Grant Parker,Air Force,2009,Sr,14,6,3,0,0,0,23,10,2,32,13,13,16,11
9496,Sammy Schafer,Air Force,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9498,Taylor Stewart,Air Force,2009,So,0,0,0,0,0,0,4,1,0,0,0,0,7,2
9487,Evan Washington,Air Force,2009,Jr,20,12,7,2,2,2,38,12,0,12,7,6,36,22
11186,Mike Bardo,Akron,2009,Jr,5,3,0,0,0,0,0,0,0,0,0,0,0,0
11191,Tim Carroll,Akron,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11184,Jimmy Conyers,Akron,2009,Sr,50,27,5,1,1,0,10,5,2,14,3,3,45,37
11187,Nikola Cvetinovic,Akron,2009,So,41,21,7,3,2,2,16,2,0,1,0,0,14,7
9441,Anthony Hitchens,Akron,2009,So,17,7,2,0,0,0,18,6,1,32,5,4,10,6
11192,Zeke Marshall,Akron,2009,Fr,13,5,4,4,2,2,19,7,4,0,0,0,10,4
11180,Brett McClanahan,Akron,2009,So,1,1,0,0,0,0,6,3,1,9,1,1,0,0
11179,Brett McKnight,Akron,2009,Jr,24,9,3,0,0,0,26,8,3,20,6,5,16,11
11182,Chris McKnight,Akron,2009,Sr,35,23,12,0,0,0,15,7,6,12,3,3,43,27
11190,Steve McNees,Akron,2009,Jr,13,3,1,0,0,0,8,3,0,58,16,12,8,4
11185,Kyle Petersen,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11183,Darryl Roberts,Akron,2009,Jr,6,3,1,0,0,0,19,10,4,14,6,4,10,8
11188,Ronnie Steward,Akron,2009,Fr,4,4,0,0,0,0,3,1,0,0,0,0,3,2
11178,Alex Sullivan,Akron,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11189,Steve Swiech,Akron,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14648,Bo Amusa,Alabama A&M ,2009,Jr,6,3,1,1,1,1,8,4,0,3,1,1,15,7
14661,Pierre Andrews,Alabama A&M ,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14649,Casey Cantey,Alabama A&M ,2009,So,6,3,0,1,0,0,6,3,0,1,1,0,10,1
14653,Jabari Deshields,Alabama A&M ,2009,Jr,2,0,0,0,0,0,2,0,0,1,0,0,6,1
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14663,Royce Hamilton,Alabama A&M ,2009,So,3,1,0,0,0,0,0,0,0,0,0,0,0,0
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,1,1,1,0,0,0,5,3,1,5,0,0,0,0
14652,Evan Hilton,Alabama A&M ,2009,Sr,9,6,0,0,0,0,10,1,0,6,1,1,5,2
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,2,2,2,0,0,0,5,0,0,0,0,0,0,0
14651,Desmond Jackson,Alabama A&M ,2009,Jr,2,0,0,0,0,0,1,0,0,1,0,0,1,0
14660,Maurice Kemp,Alabama A&M ,2009,Fr,3,2,0,1,1,0,3,1,1,2,0,0,0,0
14659,Marcus Lee,Alabama A&M ,2009,Fr,3,0,0,0,0,0,2,0,0,0,0,0,0,0
14662,Reggie Porter,Alabama A&M ,2009,Jr,0,0,0,0,0,0,1,0,0,0,0,0,2,2
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,1,0,0,0,0,0,6,1,0,2,0,0,0,0
14725,Stephawn Brown,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14726,Tramaine Butler,Alabama State,2009,RS-Jr,4,1,0,0,0,0,1,0,0,1,0,0,6,3
14714,Chris Duncan,Alabama State,2009,Jr,3,2,2,0,0,0,2,1,1,3,0,0,0,0
14719,Jevon Freeman,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,1,1,1,0,0,0,1,0,0,3,2,1,2,0
14724,Sekari Milligen,Alabama State,2009,So,0,0,0,0,0,0,2,0,0,0,0,0,2,2
14727,Tramyne Moorer,Alabama State,2009,Jr,1,0,0,0,0,0,1,0,0,0,0,0,2,2
14717,Jadarren Mumpfield,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14721,Menji Mundadi,Alabama State,2009,Sr,5,2,1,0,0,0,3,0,0,6,2,2,4,3
14722,Robert Sanders,Alabama State,2009,Jr,3,1,0,0,0,0,3,0,0,4,0,0,4,2
14712,A.J. Spencer,Alabama State,2009,Jr,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14407,Byron Walker,Alabama State,2009,Sr,4,1,0,0,0,0,4,2,2,0,0,0,0,0
14723,Ryan Watts,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14716,Ivory White,Alabama State,2009,So,1,0,0,0,0,0,2,2,2,3,1,1,0,0
5496,Anthony Brock,Alabama,2009,Sr,25,7,0,0,0,0,11,2,0,62,23,22,21,14
5502,Greg Cage,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,7,3,2,0,0,0,14,4,3,72,26,25,6,2
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,1,0,0,0,0,0,2,0,0,1,0,0,2,1
2187,JaMychal Green,Alabama,2009,So,92,51,28,21,15,11,107,45,16,4,0,0,104,74
2356,Senario Hillman,Alabama,2009,Jr,50,22,11,6,6,4,59,17,2,39,13,11,35,22
5499,Chris Hines,Alabama,2009,Jr,26,17,10,3,3,2,31,8,2,2,1,1,23,11
5503,Justin Knox,Alabama,2009,Jr,35,16,10,8,7,6,63,22,10,1,1,1,49,38
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,56,41,23,18,15,9,53,14,5,37,9,9,34,21
5495,Andrew Steele,Alabama,2009,RS-So,3,3,2,0,0,0,2,0,0,5,2,2,10,4
