GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,64,44,25,13,13,12,32,8,5,23,8,7,58,25
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,11,9,2,0,0,0,30,12,6,72,21,17,20,13
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,25,15,4,0,0,0,16,4,2,40,13,10,26,16
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,20,13,8,3,3,3,24,6,2,31,11,11,12,7
21952,Terence Jones,Texas A&M-CC,2009,Fr,41,15,1,0,0,0,39,10,2,85,27,20,58,39
21945,Jawan Nelson,Texas A&M-CC,2009,So,14,8,5,0,0,0,12,3,2,16,3,3,7,4
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,166,101,39,12,12,3,87,35,15,150,49,42,212,160
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,108,71,37,12,12,5,86,32,15,32,5,4,105,66
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,20,11,5,0,0,0,29,9,4,24,8,6,17,10
21940,Antonio Topps,Texas A&M-CC,2009,Jr,1,1,0,0,0,0,4,1,1,9,3,3,2,1
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,168,119,68,24,24,18,38,13,5,1,0,0,128,85
9502,Zach Bohannon,Air Force,2009,Fr,10,9,4,0,0,0,1,1,0,7,1,1,6,1
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,24,12,10,0,0,0,18,7,4,25,1,1,43,26
9486,Derek Brooks,Air Force,2009,Jr,19,15,10,0,0,0,15,7,2,21,10,8,19,15
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,1,1,1,0,0,0,7,1,1,27,10,10,6,5
9500,Todd Fletcher,Air Force,2009,Fr,24,19,5,0,0,0,20,10,5,50,15,15,23,17
9501,Tom Fow,Air Force,2009,Jr,27,19,10,4,4,3,40,16,4,106,42,42,35,28
9497,Shawn Hempsey,Air Force,2009,So,4,3,1,0,0,0,6,2,0,4,0,0,6,2
9492,Michael Lyons,Air Force,2009,Fr,52,31,14,4,3,1,67,29,7,75,17,17,25,19
9494,Mike McLain,Air Force,2009,Sr,61,40,23,3,3,1,11,3,1,41,10,10,57,24
9485,Avery Merriex,Air Force,2009,Sr,17,9,4,0,0,0,19,7,3,7,2,2,10,6
9488,Grant Parker,Air Force,2009,Sr,62,44,30,3,3,3,47,17,7,80,27,26,64,44
