GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,1,1,1,1,1,1,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,19,13,8,7,7,7,3,0,0,2,0,0,16,6
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,7,6,2,0,0,0,3,2,2,20,7,5,15,10
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,18,12,3,0,0,0,3,2,1,12,3,2,11,9
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,8,5,4,1,0,0,6,2,1,5,2,2,12,7
21952,Terence Jones,Texas A&M-CC,2009,Fr,25,10,2,0,0,0,11,3,0,21,4,4,36,27
21945,Jawan Nelson,Texas A&M-CC,2009,So,1,1,0,0,0,0,1,0,0,4,1,1,2,2
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,76,52,18,11,11,4,17,7,3,50,14,11,96,80
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,31,25,17,8,8,3,11,5,2,9,0,0,31,21
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,5,4,3,0,0,0,2,2,2,5,1,1,8,4
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0,0,0,0,0,0,2,0,0,2,0,0,0,0
21944,Jacob Warnell,Texas A&M-CC,2009,So,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,55,39,28,13,12,9,6,2,1,0,0,0,40,25
9502,Zach Bohannon,Air Force,2009,Fr,2,2,1,0,0,0,0,0,0,0,0,0,5,2
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,8,5,4,0,0,0,1,1,1,1,0,0,11,5
9486,Derek Brooks,Air Force,2009,Jr,5,4,3,0,0,0,0,0,0,0,0,0,10,7
9495,Saj El-Amin,Air Force,2009,Sr,1,0,0,0,0,0,1,1,1,0,0,0,2,1
9493,Mike Fitzgerald,Air Force,2009,Fr,1,1,1,0,0,0,2,0,0,4,2,2,2,1
9500,Todd Fletcher,Air Force,2009,Fr,9,7,0,0,0,0,2,2,1,4,1,1,16,11
9501,Tom Fow,Air Force,2009,Jr,3,2,2,1,1,1,10,2,0,16,7,7,10,10
