GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
21946,Jeremy Allen,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
21950,Mike Bables,Texas A&M-CC,2009,Fr,1,1,0,0,0,0,0,0,0,0,0,0,0
21943,Horace Bond,Texas A&M-CC,2009,Jr,18,12,7,6,6,3,0,0,1,0,0,13,4
21951,Shamar Coombs,Texas A&M-CC,2009,Sr,7,6,2,0,0,3,2,2,17,5,4,13,8
21948,LaMarr Drake,Texas A&M-CC,2009,Sr,18,12,3,0,0,3,2,1,10,3,2,8,6
21949,Marcus Hammonds,Texas A&M-CC,2009,Sr,6,4,3,0,0,4,2,1,5,2,2,10,6
21952,Terence Jones,Texas A&M-CC,2009,Fr,23,9,1,0,0,11,3,0,19,4,4,34,25
21945,Jawan Nelson,Texas A&M-CC,2009,So,1,1,0,0,0,1,0,0,3,1,1,0,0
10158,Kevin Palmer,Texas A&M-CC,2009,Sr,69,46,16,10,10,16,7,3,46,13,10,89,76
21947,Justin Reynolds,Texas A&M-CC,2009,Jr,29,23,16,8,8,11,5,2,7,0,0,27,18
21942,Filip Toncinic,Texas A&M-CC,2009,Sr,3,2,1,0,0,2,2,2,3,1,1,7,4
21940,Antonio Topps,Texas A&M-CC,2009,Jr,0,0,0,0,0,0,0,0,1,0,0,0,0
21944,Jacob Warnell,Texas A&M-CC,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
21941,Demond Watt,Texas A&M-CC,2009,Jr,49,34,25,11,11,4,0,0,0,0,0,37,23
9502,Zach Bohannon,Air Force,2009,Fr,2,2,1,0,0,0,0,0,0,0,0,1,0
9484,Adam Brakeville,Air Force,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
9499,Taylor Broekhuis,Air Force,2009,Fr,7,4,3,0,0,1,1,1,1,0,0,11,5
9486,Derek Brooks,Air Force,2009,Jr,4,4,3,0,0,0,0,0,0,0,0,10,7
9495,Saj El-Amin,Air Force,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
9493,Mike Fitzgerald,Air Force,2009,Fr,1,1,1,0,0,2,0,0,3,1,1,2,1
9500,Todd Fletcher,Air Force,2009,Fr,6,4,0,0,0,2,2,1,4,1,1,14,9
9501,Tom Fow,Air Force,2009,Jr,2,1,1,1,1,7,2,0,12,5,5,8,8
9497,Shawn Hempsey,Air Force,2009,So,1,1,0,0,0,2,1,0,1,0,0,5,2
9492,Michael Lyons,Air Force,2009,Fr,24,15,9,3,2,10,4,0,8,2,2,9,7
9494,Mike McLain,Air Force,2009,Sr,15,13,10,2,2,1,0,0,1,0,0,18,5
9485,Avery Merriex,Air Force,2009,Sr,2,0,0,0,0,2,1,1,0,0,0,6,4
