GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
1945,Tweety Carter,Baylor,2009,Guard,5.06%,71.54%,15.48%,0.00%,NR,54.68%,62.45%,53.97%,97.77%,77.32%,62.07%,77.93%
1946,Sherron Collins,Kansas,2009,Guard,27.20%,42.46%,44.22%,0.00%,NR,55.21%,9.63%,55.18%,94.51%,56.05%,77.74%,77.77%
1947,Jon Scheyer,Duke,2009,Guard,17.09%,48.84%,24.93%,0.00%,NR,53.43%,33.08%,32.95%,95.29%,67.93%,57.90%,45.41%
1950,Scottie Reynolds,Villanova,2009,Guard,47.13%,71.07%,82.54%,0.00%,NR,59.85%,54.89%,83.13%,93.02%,38.46%,52.61%,69.40%
2048,Kyle Bailey,Connecticut,2009,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
2048,Kyle Bailey,Connecticut,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
2048,Kyle Bailey,Connecticut,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
2153,Jai Lucas,Texas,2009,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,53.30%,82.57%,94.65%,96.28%
2153,Jai Lucas,Texas,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,40.83%,NR,NR,NR
2154,Nolan Smith,Duke,2009,Guard,63.80%,52.21%,58.94%,93.96%,43.25%,47.55%,48.44%,19.55%,85.95%,29.43%,62.06%,69.81%
2154,Nolan Smith,Duke,2010,Guard,52.96%,80.90%,56.03%,98.32%,40.83%,80.99%,52.65%,68.89%,86.66%,17.97%,51.59%,50.94%
2155,Austin Freeman,Georgetown,2009,Guard,77.39%,86.02%,32.30%,88.03%,37.68%,NR,NR,NR,74.83%,28.90%,93.12%,38.16%
2155,Austin Freeman,Georgetown,2010,Guard,66.95%,73.93%,24.79%,80.54%,NR,NR,NR,NR,73.62%,33.51%,20.24%,23.58%
2157,Chris Wright,Georgetown,2009,Guard,80.17%,55.73%,51.55%,0.00%,NR,33.48%,64.63%,78.19%,72.16%,14.45%,25.91%,34.47%
2157,Chris Wright,Georgetown,2010,Guard,81.32%,38.17%,52.52%,0.00%,NR,NR,NR,NR,59.37%,17.56%,12.21%,10.42%
2172,Larry Drew,North Carolina,2009,Guard,6.41%,9.71%,71.68%,0.00%,NR,95.31%,67.41%,96.80%,86.66%,38.53%,58.87%,88.17%
2172,Larry Drew,North Carolina,2010,Guard,NR,NR,NR,0.00%,NR,98.93%,91.83%,91.32%,17.42%,NR,NR,NR
2172,Larry Drew,UCLA,2012,Guard,32.94%,38.71%,29.93%,0.00%,NR,89.96%,86.96%,86.65%,66.31%,25.99%,25.91%,79.03%
2181,Kemba Walker,Connecticut,2009,Guard,71.76%,52.91%,85.59%,36.20%,NR,81.75%,48.54%,81.78%,50.98%,3.19%,93.12%,6.81%
2181,Kemba Walker,Connecticut,2010,Guard,53.39%,26.22%,62.49%,66.10%,NR,77.82%,68.37%,49.01%,92.14%,20.07%,63.11%,38.62%
2182,Malcolm Lee,UCLA,2009,Guard,70.69%,84.17%,56.79%,80.54%,NR,73.94%,48.44%,45.88%,50.98%,9.20%,10.82%,5.94%
2182,Malcolm Lee,UCLA,2010,Guard,73.68%,86.11%,52.40%,80.54%,NR,NR,NR,NR,76.09%,31.55%,18.22%,35.50%
2183,Iman Shumpert,Georgia Tech,2009,Guard,23.38%,77.52%,79.83%,92.47%,30.00%,80.09%,35.56%,92.56%,91.68%,45.49%,42.93%,91.33%
2183,Iman Shumpert,Georgia Tech,2010,Guard,32.27%,86.02%,52.92%,97.42%,17.48%,78.17%,52.12%,73.49%,94.21%,39.74%,25.91%,84.00%
2189,Elliot Williams,Memphis,2009,Guard,65.42%,74.74%,47.17%,99.45%,29.21%,26.09%,13.82%,65.99%,88.81%,37.51%,58.07%,55.92%
2190,Mike Rosario,Rutgers,2009,Guard,38.47%,35.52%,82.41%,74.54%,NR,26.28%,73.97%,53.76%,99.47%,57.69%,40.07%,87.47%
2190,Mike Rosario,Florida,2011,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,79.63%,72.04%,70.37%,74.18%
2190,Mike Rosario,Florida,2012,Guard,43.69%,45.85%,37.04%,74.54%,NR,NR,NR,NR,90.14%,64.47%,79.09%,73.91%
2194,Avery Bradley,Texas,2009,Guard,27.60%,46.09%,76.84%,92.47%,20.69%,93.12%,62.52%,91.75%,81.81%,21.15%,39.97%,73.84%
2195,John Wall,Kentucky,2009,Guard,84.84%,56.28%,88.52%,99.86%,36.71%,47.05%,63.14%,73.86%,64.83%,4.74%,27.29%,31.35%
2197,Xavier Henry,Kansas,2009,Guard,42.87%,58.00%,44.84%,88.03%,6.71%,45.84%,86.96%,44.17%,84.25%,47.73%,85.46%,50.79%
2200,Peyton Siva,Louisville,2009,Guard,48.47%,47.64%,88.23%,54.29%,NR,NR,NR,NR,57.32%,41.67%,70.37%,83.50%
2200,Peyton Siva,Louisville,2010,Guard,75.87%,68.88%,74.53%,97.92%,45.46%,22.22%,88.53%,91.16%,76.09%,25.25%,51.11%,75.21%
2200,Peyton Siva,Louisville,2011,Guard,69.85%,57.53%,38.77%,92.47%,46.57%,65.48%,19.24%,62.77%,63.08%,14.10%,30.71%,59.37%
2200,Peyton Siva,Louisville,2012,Guard,63.11%,70.66%,74.00%,90.33%,100.00%,65.09%,88.62%,86.16%,72.16%,21.23%,25.91%,50.39%
2203,Maalik Wayns,Villanova,2009,Guard,86.60%,64.82%,77.29%,36.20%,NR,NR,NR,NR,50.98%,16.07%,51.11%,44.79%
2203,Maalik Wayns,Villanova,2010,Guard,72.03%,32.12%,79.64%,0.00%,NR,55.39%,30.35%,37.33%,63.08%,17.02%,18.22%,25.98%
2203,Maalik Wayns,Villanova,2011,Guard,56.57%,34.48%,83.29%,36.20%,NR,53.95%,33.08%,67.53%,88.81%,31.04%,51.48%,70.31%
2206,Kenny Boynton,Florida,2009,Guard,32.23%,76.00%,81.32%,80.54%,NR,35.29%,13.64%,64.82%,98.72%,59.52%,28.57%,73.07%
2206,Kenny Boynton,Florida,2010,Guard,43.88%,77.58%,83.50%,54.29%,NR,29.17%,28.62%,31.40%,91.68%,52.74%,16.71%,41.47%
2206,Kenny Boynton,Florida,2011,Guard,35.90%,80.90%,83.53%,88.03%,100.00%,NR,NR,NR,99.19%,71.79%,66.34%,72.73%
2206,Kenny Boynton,Florida,2012,Guard,43.79%,83.45%,87.46%,66.10%,NR,33.60%,87.90%,79.82%,92.14%,51.25%,63.11%,50.12%
2211,Abdul Gaddy,Washington,2009,Guard,33.99%,25.56%,85.16%,0.00%,NR,98.93%,37.14%,92.61%,27.47%,NR,NR,NR
2211,Abdul Gaddy,Washington,2010,Guard,38.33%,48.84%,86.28%,0.00%,NR,93.87%,88.12%,95.85%,34.82%,NR,NR,NR
2211,Abdul Gaddy,Washington,2011,Guard,45.80%,55.72%,61.98%,0.00%,NR,89.10%,62.21%,78.21%,57.32%,16.22%,51.11%,21.50%
2211,Abdul Gaddy,Washington,2012,Guard,37.33%,74.06%,55.86%,80.54%,NR,91.01%,57.02%,76.40%,72.16%,19.58%,25.91%,77.58%
2213,Tommy Mason-Griffin,Oklahoma,2009,Guard,16.86%,13.83%,59.22%,0.00%,NR,86.72%,56.98%,74.55%,89.43%,47.37%,51.11%,64.32%
2258,Brandon Knight,Kentucky,2010,Guard,47.77%,26.40%,60.74%,80.54%,NR,69.36%,57.41%,52.85%,88.10%,32.03%,93.79%,22.29%
2259,Corey Fisher,Villanova,2009,Guard,62.59%,67.13%,70.41%,36.20%,NR,61.13%,56.39%,83.12%,79.63%,25.30%,70.37%,76.63%
2259,Corey Fisher,Villanova,2010,Guard,47.72%,35.19%,70.65%,0.00%,NR,52.34%,48.44%,28.90%,82.68%,41.82%,51.11%,55.92%
2272,Kevin Dillard,Southern Illinois,2009,Guard,47.22%,71.54%,71.91%,0.00%,NR,87.46%,93.86%,78.08%,61.20%,17.46%,54.48%,22.88%
2272,Kevin Dillard,Dayton,2011,Guard,51.41%,74.73%,31.56%,0.00%,NR,81.34%,21.82%,48.08%,63.08%,19.06%,65.03%,14.42%
2272,Kevin Dillard,Dayton,2012,Guard,44.24%,42.46%,37.98%,0.00%,NR,55.80%,28.05%,39.23%,82.68%,42.31%,57.90%,49.21%
2273,Brandon Paul,Illinois,2009,Guard,27.69%,25.56%,43.57%,66.10%,NR,NR,NR,NR,90.14%,68.34%,30.80%,83.14%
2273,Brandon Paul,Illinois,2010,Guard,26.58%,89.45%,28.26%,74.54%,NR,35.29%,86.96%,49.01%,87.31%,65.88%,51.11%,79.00%
2273,Brandon Paul,Illinois,2011,Guard,24.25%,76.00%,24.93%,92.47%,6.90%,72.57%,13.70%,40.32%,85.03%,49.79%,65.03%,43.52%
2273,Brandon Paul,Illinois,2012,Guard,19.23%,86.91%,33.95%,88.03%,16.43%,63.31%,36.59%,59.88%,96.67%,59.38%,51.11%,55.92%
2277,Jordan Hulls,Indiana,2009,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,81.81%,87.73%,83.70%,63.97%
2277,Jordan Hulls,Indiana,2010,Guard,NR,NR,NR,0.00%,NR,77.58%,98.28%,61.71%,85.95%,68.32%,28.57%,65.55%
